doi,field,field_type,CGS,AZ,LLM,CGS_vs_LLM,AZ_vs_LLM,CGS_vs_AZ
10.1016/j.agee.2019.04.004,publication_year,categorical,2019,2019,2019,yes,yes,yes
10.1016/j.agee.2019.04.004,publication_type,categorical,journal_article,journal_article,journal_article,yes,yes,yes
10.1016/j.agee.2019.04.004,geographic_scale,categorical,sub-national,sub-national,sub-national,yes,yes,yes
10.1016/j.agee.2019.04.004,producer_type,categorical,crop,undefined,undefined,no,yes,no
10.1016/j.agee.2019.04.004,temporal_coverage,categorical,longitudinal,longitudinal,longitudinal,yes,yes,yes
10.1016/j.agee.2019.04.004,cost_data_reported,categorical,No,no,no,yes,yes,yes
10.1016/j.agee.2019.04.004,purpose_of_assessment,categorical,Program evaluation,research,research,no,yes,no
10.1016/j.agee.2019.04.004,marginalized_subpopulations,multivalue,women,other,women; youth; people_with_disabilities,partial,no,no
10.1016/j.agee.2019.04.004,methodological_approach,multivalue,participatory; quantitative; qualitative,quantitative; qualitative,qualitative; quantitative; participatory,yes,partial,partial
10.1016/j.agee.2019.04.004,process_outcome_domains,multivalue,food security; dietary diversity and nutrition,livelihoods; wellbeing,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity,no,partial,no
10.1016/j.agee.2019.04.004,data_sources,multivalue,surveys; interviews; focus groups; primary data,surveys; participatory_methods,surveys; participatory_methods,partial,yes,partial
10.1016/j.agee.2019.04.004,country_region,freetext,Malawi,Malawi,Malawi,—,—,—
10.1016/j.agee.2019.04.004,adaptation_focus,freetext,Crop management practices; Crop varieties and genetics; Soil and land management; agroforestry; livestock management; livelihood diversification; social and community networking; post harvest and consumption adjustments,agroecological farming practices for climate adaptation,"agroecological farming practices, participatory research on climate change adaptation",—,—,—
10.1016/j.agee.2019.04.004,indicators_measured,freetext,Household food security acccess scale (HFIAS); Household  dietary diversity score (HDDS),HFIAS (score); dietary diversity score (score); crop diversity (count),"yield (t/ha), income (USD/season), adoption rate (%)",—,—,—
10.1016/j.agee.2019.04.004,strengths_and_limitations,freetext,Strength: <the quantitative results were supported by qualitative field observations and in-depth interviews>; Limitation: <Future studies should include control households or delayed intervention designs>,Strength: Mixed methods. Limitation: Region-specific.,Strength: The study provides evidence that agroecological practices can improve food security and dietary diversity. Limitation: The study does not report cost data for the interventions.,—,—,—
10.1016/j.agee.2019.04.004,lessons_learned,freetext,"<incorporate control households or delayed intervention designs to rigorously substantiate these impacts,  and should investigate what ongoing support is needed to sustain long-term improvements",Gender equity improves food security outcomes.,"Key author recommendations include promoting participatory research approaches to enhance farmer experimentation and gender equity, which leads to greater health and well-being.",—,—,—
10.1016/j.crm.2017.06.001,publication_year,categorical,2017,2017,2017,yes,yes,yes
10.1016/j.crm.2017.06.001,publication_type,categorical,journal_article,journal_article,journal_article,yes,yes,yes
10.1016/j.crm.2017.06.001,geographic_scale,categorical,sub-national,sub-national,sub-national,yes,yes,yes
10.1016/j.crm.2017.06.001,producer_type,categorical,crop,undefined,undefined,no,yes,no
10.1016/j.crm.2017.06.001,temporal_coverage,categorical,cross_sectional,cross_sectional,cross_sectional,yes,yes,yes
10.1016/j.crm.2017.06.001,cost_data_reported,categorical,No,no,no,yes,yes,yes
10.1016/j.crm.2017.06.001,purpose_of_assessment,categorical,research,research,research,yes,yes,yes
10.1016/j.crm.2017.06.001,marginalized_subpopulations,multivalue,women,other,women; people_with_disabilities,partial,no,no
10.1016/j.crm.2017.06.001,methodological_approach,multivalue,qualitative; quantitative,quantitative; qualitative,qualitative; quantitative,yes,yes,yes
10.1016/j.crm.2017.06.001,process_outcome_domains,multivalue,resilience_adaptive_capacity; knowledge_awareness_learning' decision_making_planning; participation_coproduction; institutional_governance;access_information_services,resilience_adaptive_capacity; access_information_services,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity,partial,partial,partial
10.1016/j.crm.2017.06.001,data_sources,multivalue,surveys; secondary_data; semi structured interviews; primary_data,surveys; participatory_methods,surveys; participatory_methods,partial,yes,partial
10.1016/j.crm.2017.06.001,country_region,freetext,Ghana,Ghana,Ghana,—,—,—
10.1016/j.crm.2017.06.001,adaptation_focus,freetext,climate information and advisory services; financial strategies; crop varieties and genetics; soil and land management; water management and irrigation; ,characterizing adaptive capacity and institutional determinants,adaptive capacity of smallholder farmers to climate change,—,—,—
10.1016/j.crm.2017.06.001,indicators_measured,freetext,Smallholder Farmers’ Adaptive Capacity Index (SFACI),social capital (index); economic resources (index); awareness (index),"economic resources, social capital, awareness and training, technology, infrastructure and institutions",—,—,—
10.1016/j.crm.2017.06.001,strengths_and_limitations,freetext,Strength:<none reported>; limitations <a deductive and expert driven approach does not include the perspectives of the community members on their own adaptive capacity; indicators provide only an indication for a certain state of a system and do not shed light on how to explain the results>,Strength: Comprehensive framework. Limitation: Cross-sectional.,Strength: Provides a comprehensive framework for assessing adaptive capacity of smallholder farmers. Limitation: Limited to two agrarian communities in the Northern Region of Ghana.,—,—,—
10.1016/j.crm.2017.06.001,lessons_learned,freetext,,Social capital is a critical determinant of capacity.,"Resilience building interventions should target individuals with low adaptive capacities, especially women and farmers without formal education.",—,—,—
10.1016/j.crm.2017.03.001,publication_year,categorical,2017,2017,2017,yes,yes,yes
10.1016/j.crm.2017.03.001,publication_type,categorical,journal_article,journal_article,journal_article,yes,yes,yes
10.1016/j.crm.2017.03.001,geographic_scale,categorical,multi-country,multi-country,multi-country,yes,yes,yes
10.1016/j.crm.2017.03.001,producer_type,categorical,undefined,undefined,undefined,yes,yes,yes
10.1016/j.crm.2017.03.001,temporal_coverage,categorical,cross_sectional,longitudinal,cross_sectional,yes,no,no
10.1016/j.crm.2017.03.001,cost_data_reported,categorical,No,no,no,yes,yes,yes
10.1016/j.crm.2017.03.001,purpose_of_assessment,categorical,research,research,research,yes,yes,yes
10.1016/j.crm.2017.03.001,marginalized_subpopulations,multivalue,none_reported,none_reported,none_reported,yes,yes,yes
10.1016/j.crm.2017.03.001,methodological_approach,multivalue,quantitative,quantitative,quantitative,yes,yes,yes
10.1016/j.crm.2017.03.001,process_outcome_domains,multivalue,uptake_adoption; decision_making_planning,livelihoods; resilience_adaptive_capacity,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity,partial,partial,no
10.1016/j.crm.2017.03.001,data_sources,multivalue,surveys,surveys,surveys,yes,yes,yes
10.1016/j.crm.2017.03.001,country_region,freetext,East Africa,Ethiopia; Kenya; Uganda; Tanzania,Ethiopia; Kenya; Uganda; Tanzania,—,—,—
10.1016/j.crm.2017.03.001,adaptation_focus,freetext,Crop varieties and genetics; Crop management practices; Soil and land management; Water management and irrigation; Agroforestry,determinants of adaptation to climate risks among smallholders,farmers' attitudes and determinants of adaptation to climate risks,—,—,—
10.1016/j.crm.2017.03.001,indicators_measured,freetext,Overall Livelihood-Based Adaptation Index (LAI),livelihood-based adaptation index (unitless); credit access (binary); group membership (binary),"adaptation index, household size, sex of the household head, number of months of food shortage, farmer group membership, access to credit",—,—,—
10.1016/j.crm.2017.03.001,strengths_and_limitations,freetext,"Strength: <novel approach to generating weights required in constructing aggregate adaptation indices;  method of calculating the adaptation index provides a more objective way of generating weights for adaptation strategies compared to previous approaches>; Limitations: <data on a few control variables including age and sex of the household head, distance to markets, and contact with extension agents were missing from the baseline survey""
. To correct this, they used a follow-up survey, but noted that ""it was, however, not possible to reach every household that was in the baseline because some had migrated,"" which reduced their sample size.",Strength: not reported. Limitation: Self-reported data.,Strength: Provided insights into farmers' attitudes and determinants of adaptation to climate risks. Limitation: Limited focus on specific adaptation strategies and their cost implications.,—,—,—
10.1016/j.crm.2017.03.001,lessons_learned,freetext,"<recommend coupling their socioeconomic survey data with biophysical datasets, including plot-level characteristics, to better capture and understand differences across the various study sites
>",Credit and group membership drive adaptation; information asymmetry should be addressed.,"Providing climate information, promoting crop diversification, and encouraging adoption of adapted varieties can enhance short-term resilience. Long-term investment in reducing hunger, group formation, and easing liquidity constraints is needed for long-term adaptation.",—,—,—
10.1007/s10584-016-1792-0,publication_year,categorical,2017,2017,2017,yes,yes,yes
10.1007/s10584-016-1792-0,publication_type,categorical,journal_article,journal_article,journal_article,yes,yes,yes
10.1007/s10584-016-1792-0,geographic_scale,categorical,multi-country,multi-country,multi-country,yes,yes,yes
10.1007/s10584-016-1792-0,producer_type,categorical,crop,undefined,undefined,no,yes,no
10.1007/s10584-016-1792-0,temporal_coverage,categorical,cross_sectional,repeated_cross_sectional,longitudinal,no,no,no
10.1007/s10584-016-1792-0,cost_data_reported,categorical,No,no,no,yes,yes,yes
10.1007/s10584-016-1792-0,purpose_of_assessment,categorical,research,research,research,yes,yes,yes
10.1007/s10584-016-1792-0,marginalized_subpopulations,multivalue,Women,other,none_reported,no,no,no
10.1007/s10584-016-1792-0,methodological_approach,multivalue,quantitative,quantitative,quantitative,yes,yes,yes
10.1007/s10584-016-1792-0,process_outcome_domains,multivalue,Vulnerability,resilience_adaptive_capacity,knowledge_awareness_learning; decision_making_planning; institutional_governance; risk_reduction,no,no,no
10.1007/s10584-016-1792-0,data_sources,multivalue,surveys; secondary data,secondary_data,administrative_data; secondary_data,no,partial,no
10.1007/s10584-016-1792-0,country_region,freetext,Central America,Guatemala; El Salvador; Honduras; Nicaragua,Guatemala; El Salvador; Honduras; Nicaragua,—,—,—
10.1007/s10584-016-1792-0,adaptation_focus,freetext,"Crop management practices; Crop varieties and genetics; Soil and land management; agroforestry; water management and irrigation; livelihood diversification; migration and mobility; financial strategies, climate information and advisory services",adaptive capacity and vulnerability mapping for prioritization,climate change vulnerability assessment for smallholder agricultural livelihoods,—,—,—
10.1007/s10584-016-1792-0,indicators_measured,freetext,"Adaptive Capacity Index (ACI) Indicators; Satisfaction of basic needs (Health, wellbeing, and equity); Resources for innovation (Access to extension, land, and infrastructure); Resources for action (Financial strategies and livelihood diversification)",Adaptive Capacity Index (ACI); crop suitability (rank),"proportional area under subsistence crops, adaptive capacity index (ACI)",—,—,—
10.1007/s10584-016-1792-0,strengths_and_limitations,freetext,"Strength: <regional scope and shows cluster-specific attributes that could define entry points for adaptation planning; pproach can be applied in other countries or regions to identify spatial priorities for adaptation using widely-available data> Limitations: <firstly, the estimation of PI in terms of changes in crop productivity related to climate variability... not just climatic suitability; secondly, the inclusion of social, cultural and natural assets in the characterization of the AC, and finally, a focus on agricultural landscapes rather than administrative divisions like municipalities""
. They also point out that ""we suggest that our results should be validated using local scale case studies""
 and highlight that research priorities to improve these assessments include the ""integration of climate variability and non-climatic stresses and their interaction with climate change variables>",Strength: Policy-scale mapping. Limitation: Data resolution.,Strength: Provides a comprehensive assessment of climate change vulnerability at the municipality level. Limitation: Focuses on selected crops and does not cover all smallholder agricultural livelihoods.,—,—,—
