doi,field,field_type,CGS,LLM,AZ,SZC,JK,LJ,KK,CGS_vs_LLM,CGS_vs_AZ,CGS_vs_SZC,CGS_vs_JK,CGS_vs_LJ,LLM_vs_AZ,LLM_vs_SZC,LLM_vs_JK,LLM_vs_LJ,AZ_vs_SZC,AZ_vs_JK,AZ_vs_LJ,SZC_vs_JK,SZC_vs_LJ,JK_vs_LJ,CGS_vs_KK,LLM_vs_KK,AZ_vs_KK,SZC_vs_KK,JK_vs_KK,LJ_vs_KK
10.1016/j.agee.2019.04.004,publication_year,categorical,2019,2019,2019,2019,2018,,,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
10.1016/j.agee.2019.04.004,publication_type,categorical,journal_article,journal_article,journal_article,journal_article,journal_article,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.agee.2019.04.004,geographic_scale,categorical,sub-national,sub-national,sub-national,local,local,,,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.agee.2019.04.004,producer_type,categorical,crop,undefined,undefined,undefined,undefined,,,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.agee.2019.04.004,temporal_coverage,categorical,longitudinal,longitudinal,longitudinal,,longitudinal,,,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes
10.1016/j.agee.2019.04.004,cost_data_reported,categorical,No,no,no,no,no,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.agee.2019.04.004,purpose_of_assessment,categorical,Program evaluation,research,research,research,project_learning,,,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
10.1016/j.agee.2019.04.004,marginalized_subpopulations,multivalue,women,women; youth; people_with_disabilities,other,women;other,youth; other,,,partial,no,partial,no,no,no,partial,partial,no,partial,partial,no,partial,no,no,no,no,no,no,no,both_empty
10.1016/j.agee.2019.04.004,methodological_approach,multivalue,participatory; quantitative; qualitative,qualitative; quantitative; participatory,quantitative; qualitative,qualitative;quantitative,qualitative; quantitative; participatory,,,yes,partial,partial,yes,no,partial,partial,yes,no,yes,partial,no,partial,no,no,no,no,no,no,no,both_empty
10.1016/j.agee.2019.04.004,process_outcome_domains,multivalue,food security; dietary diversity and nutrition,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity,livelihoods; wellbeing,income_assets;wellbeing,behavioral_change; yields_productivity; wellbeing,,,no,no,no,no,no,partial,partial,partial,no,partial,partial,no,partial,no,no,no,no,no,no,no,both_empty
10.1016/j.agee.2019.04.004,data_sources,multivalue,surveys; interviews; focus groups; primary data,surveys; participatory_methods,surveys; participatory_methods,surveys;administrative_data,surveys; participatory_methods,,,partial,partial,partial,partial,no,yes,partial,yes,no,partial,yes,no,partial,no,no,no,no,no,no,no,both_empty
10.1016/j.agee.2019.04.004,country_region,freetext,Malawi,Malawi,Malawi,Malawi; Sub Sahara & South East Africa,Malawi,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.agee.2019.04.004,adaptation_focus,freetext,Crop management practices; Crop varieties and genetics; Soil and land management; agroforestry; livestock management; livelihood diversification; social and community networking; post harvest and consumption adjustments,"agroecological farming practices, participatory research on climate change adaptation",agroecological farming practices for climate adaptation,Agro-ecological adaptation,"""The range of agroecological methods included: 1) integration of trees (fruit trees and/or leguminous trees); 2) soil fertility and/or conservation methods, including the use of crop residues and compost; 3) crop diversification, including legumes, indigenous grains and tubers; and 4) livelihood diversification, such as small livestock (pigs or goats), making fuel-efficient stoves, and bee-keeping (Fig. 2).""",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.agee.2019.04.004,indicators_measured,freetext,Household food security acccess scale (HFIAS); Household  dietary diversity score (HDDS),"yield (t/ha), income (USD/season), adoption rate (%)",HFIAS (score); dietary diversity score (score); crop diversity (count),"Dietary diversity value, Crops diversity, Intercropping rate, Soil Management practices, Land size, Livestock ownership, Asset Index, Gender decision-making",Household dietary diversity score; practice legume crop residue incorporation; number if fields planted; stored crop in the past year; discuss farming with spouse; use information learnt from the climate change project; use compost or manure for soil fertility; education; wealth; martial status ; Proportion of households planting crops on farm (%) ; Proportion of rainfed fields under different crop groups (%),,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.agee.2019.04.004,strengths_and_limitations,freetext,Strength: <the quantitative results were supported by qualitative field observations and in-depth interviews>; Limitation: <Future studies should include control households or delayed intervention designs>,Strength: The study provides evidence that agroecological practices can improve food security and dietary diversity. Limitation: The study does not report cost data for the interventions.,Strength: Mixed methods. Limitation: Region-specific.,(Strength) farmer led mixed method; (Limitation) There is no control group,"Strengths: ""This study provides evidence that policies and programs that support farmers to test agroecological methods, combined with community-based education on gender equity, can significantly improve food security and nutrition for highly vulnerable rural smallholder households in Malawi."" ; Limitations: ""Although the lack of control households in this study is a significant limitation, the quantitative results were supported by qualitative field observations and in-depth interviews""",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.agee.2019.04.004,lessons_learned,freetext,"<incorporate control households or delayed intervention designs to rigorously substantiate these impacts,  and should investigate what ongoing support is needed to sustain long-term improvements","Key author recommendations include promoting participatory research approaches to enhance farmer experimentation and gender equity, which leads to greater health and well-being.",Gender equity improves food security outcomes.,By crop diversity the nutrient intake improves,"""Further, there is need for detailed case studies such as this one that addresses mixed maize smallholder systems...The findings demonstrate that through participatory action research methods, highly vulnerable food insecure households, including those who are AIDS-affected, can use agroecological methods to address their food security and diet quality, with important implications for agricultural policies in Sub-Saharan Africa.""",,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10.1016/j.crm.2017.06.001,publication_year,categorical,2017,2017,2017,2017,2017,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.06.001,publication_type,categorical,journal_article,journal_article,journal_article,journal_article,journal_article,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.06.001,geographic_scale,categorical,sub-national,sub-national,sub-national,local,sub-national,,,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.06.001,producer_type,categorical,crop,undefined,undefined,crop,crop,,,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.06.001,temporal_coverage,categorical,cross_sectional,cross_sectional,cross_sectional,cross_sectional,cross_sectional,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.06.001,cost_data_reported,categorical,No,no,no,no,no,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.06.001,purpose_of_assessment,categorical,research,research,research,research,research,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
10.1016/j.crm.2017.06.001,marginalized_subpopulations,multivalue,women,women; people_with_disabilities,other,none_reported,women,,,partial,no,no,yes,no,no,no,partial,no,no,no,no,no,no,no,no,no,no,no,no,both_empty
10.1016/j.crm.2017.06.001,methodological_approach,multivalue,qualitative; quantitative,qualitative; quantitative,quantitative; qualitative,qualitative;quantitative,qualitative; quantitative,,,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,both_empty
