doi,filename,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,domain_type,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,equity_inclusion,strengths_and_limitations,lessons_learned,validity_notes,coder_id,notes,reconciliation_notes
10.1002/ldr.842,doi_10.1002_ldr.842.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-030-45106-6_130,doi_10.1007_978-3-030-45106-6_130.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-030-45106-6_204,doi_10.1007_978-3-030-45106-6_204.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-319-31392-4_13,doi_10.1007_978-3-319-31392-4_13.html,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10584-005-9035-9,doi_10.1007_s10584-005-9035-9.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10584-022-03477-x,doi_10.1007_s10584-022-03477-x.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10668-021-01545-3,doi_10.1007_s10668-021-01545-3.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s12571-016-0607-5,doi_10.1007_s12571-016-0607-5.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s13351-015-4083-1,doi_10.1007_s13351-015-4083-1.html,,,,,,,,,,,,,,,,,,,,,,
10.1007/s43621-025-00848-z,doi_10.1007_s43621-025-00848-z.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s44274-025-00357-w,doi_10.1007_s44274-025-00357-w.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/bs.agron.2016.06.003,doi_10.1016_bs.agron.2016.06.003.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agee.2013.08.017,doi_10.1016_j.agee.2013.08.017.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2007.02.003,doi_10.1016_j.agsy.2007.02.003.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2010.06.001,doi_10.1016_j.agsy.2010.06.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2012.05.003,doi_10.1016_j.agsy.2012.05.003.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2017.01.002,doi_10.1016_j.agsy.2017.01.002.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agwat.2019.03.001,doi_10.1016_j.agwat.2019.03.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apgeog.2017.10.004,doi_10.1016_j.apgeog.2017.10.004.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.biocon.2018.03.005,doi_10.1016_j.biocon.2018.03.005.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.crte.2008.07.004,doi_10.1016_j.crte.2008.07.004.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2011.07.004,doi_10.1016_j.ecolecon.2011.07.004.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2018.06.023,doi_10.1016_j.ecolecon.2018.06.023.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2019.106359,doi_10.1016_j.ecolecon.2019.106359.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2012.11.001,doi_10.1016_j.envdev.2012.11.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2016.12.002,doi_10.1016_j.envdev.2016.12.002.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.envsci.2019.05.005,doi_10.1016_j.envsci.2019.05.005.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.fcr.2011.12.011,doi_10.1016_j.fcr.2011.12.011.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.fcr.2012.07.014,doi_10.1016_j.fcr.2012.07.014.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2006.11.008,doi_10.1016_j.gloenvcha.2006.11.008.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2007.05.001,doi_10.1016_j.gloenvcha.2007.05.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2010.09.001,doi_10.1016_j.gloenvcha.2010.09.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2013.03.002,doi_10.1016_j.gloenvcha.2013.03.002.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2014.12.008,doi_10.1016_j.gloenvcha.2014.12.008.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2015.03.009,doi_10.1016_j.gloenvcha.2015.03.009.pdf,,,,,,,,,,,,,,,,,,,,,,
