field,type,CGS_vs_LLM,CGS_vs_AZ,CGS_vs_SZC,CGS_vs_JK,CGS_vs_LJ,LLM_vs_AZ,LLM_vs_SZC,LLM_vs_JK,LLM_vs_LJ,AZ_vs_SZC,AZ_vs_JK,AZ_vs_LJ,SZC_vs_JK,SZC_vs_LJ,JK_vs_LJ
publication_year,categorical,5/5 (100%),5/5 (100%),5/5 (100%),4/5 (80%),0/1 (0%),5/5 (100%),5/5 (100%),4/5 (80%),0/1 (0%),5/5 (100%),4/5 (80%),0/1 (0%),4/5 (80%),0/1 (0%),0/1 (0%)
publication_type,categorical,5/5 (100%),5/5 (100%),5/5 (100%),5/5 (100%),1/1 (100%),5/5 (100%),5/5 (100%),5/5 (100%),1/1 (100%),5/5 (100%),5/5 (100%),1/1 (100%),5/5 (100%),1/1 (100%),1/1 (100%)
geographic_scale,categorical,5/5 (100%),4/5 (80%),1/5 (20%),2/5 (40%),0/1 (0%),4/5 (80%),1/5 (20%),2/5 (40%),0/1 (0%),2/5 (40%),1/5 (20%),0/1 (0%),1/5 (20%),0/1 (0%),0/1 (0%)
producer_type,categorical,1/5 (20%),1/5 (20%),2/5 (40%),2/5 (40%),1/1 (100%),5/5 (100%),1/5 (20%),1/5 (20%),0/1 (0%),1/5 (20%),1/5 (20%),0/1 (0%),3/5 (60%),1/1 (100%),1/1 (100%)
temporal_coverage,categorical,4/5 (80%),3/5 (60%),4/4 (100%),4/5 (80%),1/1 (100%),3/5 (60%),3/4 (75%),4/5 (80%),0/1 (0%),2/4 (50%),4/5 (80%),0/1 (0%),3/4 (75%),1/1 (100%),0/1 (0%)
cost_data_reported,categorical,5/5 (100%),5/5 (100%),5/5 (100%),5/5 (100%),1/1 (100%),5/5 (100%),5/5 (100%),5/5 (100%),1/1 (100%),5/5 (100%),5/5 (100%),1/1 (100%),5/5 (100%),1/1 (100%),1/1 (100%)
purpose_of_assessment,categorical,4/5 (80%),4/5 (80%),4/5 (80%),3/5 (60%),1/1 (100%),5/5 (100%),5/5 (100%),3/5 (60%),1/1 (100%),5/5 (100%),3/5 (60%),1/1 (100%),3/5 (60%),1/1 (100%),1/1 (100%)
marginalized_subpopulations,multivalue,2/5 (40%),2/5 (40%),2/5 (40%),3/5 (60%),0/1 (0%),2/5 (40%),3/5 (60%),3/5 (60%),0/1 (0%),2/5 (40%),2/5 (40%),0/1 (0%),3/5 (60%),0/1 (0%),0/1 (0%)
methodological_approach,multivalue,5/5 (100%),4/5 (80%),3/5 (60%),4/5 (80%),0/1 (0%),4/5 (80%),3/5 (60%),4/5 (80%),0/1 (0%),4/5 (80%),3/5 (60%),0/1 (0%),4/5 (80%),0/1 (0%),0/1 (0%)
process_outcome_domains,multivalue,0/5 (0%),0/5 (0%),0/5 (0%),0/5 (0%),0/1 (0%),0/5 (0%),0/5 (0%),0/5 (0%),0/1 (0%),0/5 (0%),0/5 (0%),0/1 (0%),0/5 (0%),0/1 (0%),0/1 (0%)
data_sources,multivalue,1/5 (20%),1/5 (20%),0/5 (0%),0/5 (0%),0/1 (0%),4/5 (80%),0/5 (0%),2/5 (40%),0/1 (0%),1/5 (20%),2/5 (40%),0/1 (0%),0/5 (0%),0/1 (0%),0/1 (0%)
