doi,title,year,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,strengths_and_limitations,lessons_learned,coder_id,notes
10.1002/ldr.842,Local perceptions and regional climate trends on the Central Plateau of Burkina Faso,2008.0,,,,,,,,,,,,,,,,,,
10.1007/978-3-030-45106-6_28,Assessment of Farmers’ Indigenous Technology Adoptions for Climate Change Adaptation in Nigeria,2021.0,,,,,,,,,,,,,,,,,,
10.1007/s10457-017-0111-8,"Local tree knowledge can fast-track agroforestry recommendations for coffee smallholders along a climate gradient in Mount Elgon, Uganda",2018.0,,,,,,,,,,,,,,,,,,
10.1007/s10584-020-02817-z,The value of climate-resilient seeds for smallholder adaptation in sub-Saharan Africa,2020.0,,,,,,,,,,,,,,,,,,
10.1007/s10745-021-00256-7,"Social-Ecological Change on the Mongolian Steppe: Herder Perceptions of Causes, Impacts, and Adaptive Strategies",,,,,,,,,,,,,,,,,,,
10.1007/s43621-025-01534-w,Climate-smart agricultural practices by smallholder cocoa farmers in the semi-deciduous forest agro-ecological zone of Ghana,2025.0,,,,,,,,,,,,,,,,,,
10.1016/b978-0-12-812624-0.00004-1,"Adaptation to and Coping Strategies for Climate Change and Variability by Rural Farmers in Kigezi Highlands, Uganda",2018.0,,,,,,,,,,,,,,,,,,
10.1016/j.agee.2008.05.009,"Technical, economical and social actions of farmers to mitigate water deficit in Tamaulipas, Mexico",2008.0,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2016.10.001,Smallholder farmers managing climate risk in India: 1. Adapting to a variable climate,2017.0,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2019.102773,The impact of climate change on farming system selection in Ghana,2020.0,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2026.104700,Fences that farm: How boundary planting makes agroforestry work for smallholders in hilly farming systems,,,,,,,,,,,,,,,,,,,
10.1016/j.agwat.2020.106495,Sustainability of rice-based livelihoods in the upper floodplains of Vietnamese Mekong Delta: Prospects and challenges,2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.agwat.2025.109478,Social capital and behavioral response to water scarcity: Sustainable agriculture policies pathways for adopting dry direct-seeded rice,,,,,,,,,,,,,,,,,,,
10.1016/j.eap.2014.08.001,"Flood, cropping pattern choice and returns in agriculture: A study of Assam plains, India",2014.0,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2018.09.018,Use of Integrated Soil Fertility Management Technologies in Malawi: Impact of Dry Spells Exposure,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2022.107598,The potential impact of fishing in peruvian marine protected areas (MPAs) on artisanal fishery poverty during El Nino events,,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2018.11.004,Indigenous people's responses to drought in northwest Bangladesh,2019.0,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2019.100466,"Climate perceptions, farmers' willingness-to-insure farms and resilience to climate change in Northern region, Ghana",,,,,,,,,,,,,,,,,,,
