doi,title,domain_type,process_outcome_domains_raw
10.1016/j.agsy.2007.02.003,Promoting the adoption of natural resource management technology in arid and semi-arid areas: Modelling the impact of spineless cactus in alley cropping in Central Tunisia,process_only,decision_making_planning; institutional_governance; access_information_services
10.6090/jarq.41.25,Adaptive agricultural system to dynamic water condition in a low-lying area of Bangladesh,both,decision_making_planning; uptake_adoption; risk_reduction
10.1007/s10584-005-9035-9,Human strategies for coping with El Niño related drought in Amazônia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; risk_reduction
10.1098/rstb.2005.1742,"Multi-agent modelling of climate outlooks and food security on a community garden scheme in Limpopo, South Africa",process_only,decision_making_planning; knowledge_awareness_learning; institutional_governance
10.1016/j.worlddev.2005.06.005,"Institutional change, climate risk, and rural vulnerability: Cases from Central Mexico",process_only,decision_making_planning; institutional_governance
10.5194/esd-7-977-2016,Vulnerability to climate change and adaptation strategies of local communities in Malawi: Experiences of women fish-processing groups in the Lake Chilwa Basin,both,decision_making_planning; uptake_adoption; wellbeing
10.1186/s40064-016-2484-y,"Forest adjacent households’ voices on their perceptions and adaptation strategies to climate change in Kilombero District, Tanzania",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets
10.1007/s10113-016-0940-4,"Adaptation of agriculture to climate change in semi-arid Borena, Ethiopia",process_only,decision_making_planning; uptake_adoption; institutional_governance
10.1007/s13280-016-0828-z,"Gendered knowledge and adaptive practices: Differentiation and change in Mwanga District, Tanzania",process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change; institutional_governance; access_information_services
10.1186/s40064-016-3042-3,"Determinants of adaptation choices to climate change by sheep and goat farmers in Northern Ethiopia: the case of Southern and Central Tigray, Ethiopia",both,decision_making_planning; uptake_adoption; wellbeing; income_assets
10.1186/s40064-016-2433-9,Farmers’ perception and adaptation practice to climate variability and change: a case study of the Vea catchment in Ghana,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.1016/j.jup.2016.10.002,Empowering irrigation: A game-theoretic approach to electricity utilization in Indian agriculture,process_only,decision_making_planning; institutional_governance; access_information_services
10.1007/s13280-016-0830-5,Gender-specific responses to climate variability in a semi-arid ecosystem in northern Benin,process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change; participation_coproduction
10.1007/s11069-016-2551-2,"Benefits of flood-prone land use and the role of coping capacity, Candaba floodplains, Philippines",both,decision_making_planning; uptake_adoption; livelihoods; wellbeing; risk_reduction
10.1186/s13570-016-0057-x,What value for pastoral livelihoods? An economic valuation of development alternatives for ephemeral wetlands in eastern Mauritania,process_only,decision_making_planning; institutional_governance; access_information_services
10.1186/s13570-016-0063-z,"Tracing innovation pathways in the management of natural and social capital on Laikipia Maasai Group Ranches, Kenya",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1016/j.landusepol.2016.05.027,"Land-use response to drought scenarios and water policy intervention in Lijiang, SW China",process_only,decision_making_planning; behavioral_change
10.1016/j.jenvman.2016.07.039,Climate change adaptation options in rainfed upland cropping systems in the wet tropics: A case study of smallholder farms in North-West Cambodia,process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance
10.1016/j.agsy.2016.09.011,Engaging farmers on climate risk through targeted integration of bio-economic modelling and seasonal climate forecasts,process_only,decision_making_planning; uptake_adoption
10.1016/j.fcr.2016.09.007,Promoting resilience in Cambodian lowland rice ecosystems—Farming system research to support flexible climate response strategies for smallholder farmers,both,decision_making_planning; yields_productivity
10.1659/mrd-journal-d-16-00030.1,Farmers' Decision-making and Land Use Changes in Kyrgyz Agropastoral Systems,process_only,decision_making_planning; uptake_adoption
10.1016/j.agee.2016.09.013,"Conservation agriculture-based wheat production better copes with extreme climate events than conventional tillage-based systems: A case of untimely excess rainfall in Haryana, India",outcome_only,yields_productivity; income_assets
10.1016/j.jrurstud.2016.08.005,Adaptation to climate change and its impacts on food productivity and crop income: Perspectives of farmers in rural Pakistan,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets
10.1016/j.ecolecon.2016.07.012,Influence of institutional access and social capital on adaptation decision: Empirical evidence from hazard-prone rural households in Bangladesh,process_only,decision_making_planning; institutional_governance; access_information_services
10.1007/s12571-016-0607-5,Household food security in the face of climate change in the Hindu-Kush Himalayan region,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance
10.1186/s40066-016-0067-3,"Combining soil fertilization, cropping systems and improved varieties to minimize climate risks on farming productivity in northern region of Burkina faso",both,decision_making_planning; uptake_adoption; yields_productivity
10.1186/s13002-016-0113-z,Ethnobotanical study of traditional edible plants used by the Naxi people during droughts,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; access_information_services; yields_productivity; livelihoods; wellbeing
10.1016/j.landusepol.2016.04.012,How smallholder farmers adapt to agricultural drought in a changing climate: A case study in southern China,both,decision_making_planning; uptake_adoption; yields_productivity; income_assets; risk_reduction; resilience_adaptive_capacity
10.1016/j.gloenvcha.2016.06.011,"Adaptive environmental governance of changing social-ecological systems: Empirical insights from the Okavango Delta, Botswana",process_only,decision_making_planning; institutional_governance
10.1186/s13002-016-0105-z,"Traditional climate knowledge: A case study in a peasant community of Tlaxcala, Mexico",process_only,knowledge_awareness_learning; decision_making_planning
10.1186/s40066-016-0064-6,"I eat two meals per day impact of climate variability on eating habits among households in rufiji district, tanzania: A qualitative study",process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change
10.1016/j.cosust.2016.10.005,Towards characterizing the adaptive capacity of farmer-managed irrigation systems: learnings from Nepal,neither,not_found
10.1016/j.ijdrr.2016.04.012,Key factors affecting the flood vulnerability and adaptation of the shrimp farming sector in Thailand,process_only,decision_making_planning; uptake_adoption
10.1016/j.ijdrr.2016.04.005,Adaptation and resilience to climate change and variability in north-east Ghana,process_only,knowledge_awareness_learning; uptake_adoption; decision_making_planning
10.1016/j.worlddev.2016.04.002,"Migration and Self-Protection Against Climate Change: A Case Study of Samburu County, Kenya",process_only,decision_making_planning; uptake_adoption; access_information_services
10.1016/j.ijdrr.2016.04.013,Strategies of smallholder farmers for coping with the impacts of cyclones: A case study from Madagascar,process_only,decision_making_planning; behavioral_change
10.1016/j.scitotenv.2016.02.162,"Evaluating sustainable adaptation strategies for vulnerable mega-deltas using system dynamics modelling: Rice agriculture in the Mekong Delta's An Giang Province, Vietnam",process_only,decision_making_planning; institutional_governance; access_information_services
10.1051/cagri/2016030,Sheep breeding in Central Tunisia: Varied strategies and adaptations to changes in land use,both,decision_making_planning; institutional_governance; access_information_services; risk_reduction
10.1016/j.gloenvcha.2016.05.001,Linking development to climate adaptation: Leveraging generic and specific capacities to reduce vulnerability to drought in NE Brazil,neither,not_found
10.1007/s10113-015-0838-6,"Linking agricultural adaptation strategies, food security and vulnerability: evidence from West Africa",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets
10.1016/j.ijdrr.2016.02.001,Emergent system behaviour as a tool for understanding disaster resilience: The case of Southern African subsistence agriculture,both,decision_making_planning; risk_reduction; resilience_adaptive_capacity
10.1590/0103-9016-2015-0163,Determinants of farmers’ adaptation to climate change: A micro level analysis in Ghana,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.1659/mrd-journal-d-15-00011.1,Transhumant Pastoralism in the Context of Socioeconomic and Climate Change in the Mountains of Nepal,neither,not_found
10.1016/j.habitatint.2015.11.035,Rural household vulnerability and strategies for improvement: An empirical analysis based on time series,both,knowledge_awareness_learning; decision_making_planning; institutional_governance; access_information_services; yields_productivity; income_assets; risk_reduction
10.1007/s10113-015-0842-x,Evidence and perceptions of rainfall change in Malawi: Do maize cultivar choices enhance climate change adaptation in sub-Saharan Africa?,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1016/j.jrurstud.2016.01.001,Farmers coping strategies for climate shock: Is it differentiated by gender?,process_only,decision_making_planning; behavioral_change
10.1016/j.scitotenv.2015.11.125,"Climate change vulnerability, adaptation and risk perceptions at farm level in Punjab, Pakistan",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1016/j.worlddev.2015.11.003,Intersections of Gender and Marital Status in Accessing Climate Change Adaptation: Evidence from Rural Tanzania,process_only,decision_making_planning; uptake_adoption
10.1659/mrd-journal-d-15-00032.1,Farmers' perceptions of and adaptations to changing climate in the Melamchi Valley of Nepal,neither,not_found
10.1016/j.jrurstud.2015.11.004,Household's socio-economic factors influencing the level of adaptation to climate variability in the dry zones of Eastern Kenya,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.1016/j.envsci.2015.10.010,"Climate change and rural communities in Ghana: Social vulnerability, impacts, adaptations and policy implications",process_only,decision_making_planning; uptake_adoption
10.1108/ijccsm-10-2015-0149,Assessment of risk premium in farm technology adoption as a climate change adaptation strategy in the dryland systems of India,both,decision_making_planning; uptake_adoption; risk_reduction
10.5751/es-08139-210139,Grazing game: A learning tool for adaptive management in response to climate variability in semiarid areas of Ghana,process_only,decision_making_planning; participation_coproduction; institutional_governance
10.4102/jamba.v8i3.241,"Evaluating farmers' adaptation strategies to climate change: A case study of Kaou local government area, Tahoua State, Niger Republic",process_only,decision_making_planning; uptake_adoption
10.1186/s40064-016-2802-4,Crop diversification and livelihoods of smallholder farmers in Zimbabwe: Adaptive management for environmental change,both,uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity
10.1051/cagri/2016014,Financing an efficient adaptation programme to climate change: A contingent valuation method tested in Malaysia,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.18517/ijaseit.6.1.659,Introduction technology of Cropping Calendar-Information System (CC-IS) for rice farming as a climate change adaptation in Indonesia,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; access_information_services
10.1016/bs.agron.2016.06.003,"Climate Resilient Villages for Sustainable Food Security in Tropical India: Concept, Process, Technologies, Institutions, and Impacts",process_only,decision_making_planning; institutional_governance; uptake_adoption
10.1007/978-3-319-31392-4_13,Adaptations of the agricultural calendar and agricultural techniques to climate change in the highlands of cameroon,process_only,decision_making_planning; uptake_adoption
10.1016/j.jaridenv.2015.08.003,Organic fig growers' adaptation and vulnerability to drought,process_only,decision_making_planning; behavioral_change; institutional_governance
10.1016/j.crm.2015.12.001,"Climate risk management information, sources and responses in a pastoral region in East Africa",process_only,decision_making_planning; access_information_services
10.1016/b978-0-12-805452-9.00008-4,"Fishery Communities’ Perception of Climate Change Effects on Local Livelihoods in Tam Giang Lagoon, Vietnam",process_only,knowledge_awareness_learning; decision_making_planning
10.1186/s40064-015-1012-9,"Perception of climate change and its impact by smallholders in pastoral/agropastoral systems of Borana, South Ethiopia",process_only,knowledge_awareness_learning; decision_making_planning
10.1186/s40152-015-0030-0,“Paiche reigns!” species introduction and indigenous fisheries in the Bolivian Amazon,both,decision_making_planning; participation_coproduction; institutional_governance; access_information_services; livelihoods; wellbeing
10.1016/j.ijdrr.2015.08.010,"What drives farmers to adopt farm-level adaptation practices to climate extremes: Empirical evidence from Odisha, India",process_only,decision_making_planning; uptake_adoption
10.1016/j.landusepol.2015.08.007,Impacts of land tenure arrangements on the adaptive capacity of marginalized groups: The case of Ghana's Ejura Sekyedumase and Bongo districts,process_only,decision_making_planning; institutional_governance; access_information_services
10.1186/s13570-015-0034-9,"Adapting to the impacts of climate change in the sub-humid zone of Burkina Faso, West Africa: Perceptions of agro-pastoralists",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1016/j.agsy.2015.10.006,Combining participatory approaches and an agent-based model for better planning shrimp aquaculture,process_only,decision_making_planning; institutional_governance; access_information_services
10.1007/s12571-015-0511-4,Subsidies promote use of drought tolerant maize varieties despite variable yield performance under smallholder environments in Malawi,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.gloenvcha.2015.08.009,The influence of gendered roles and responsibilities on the adoption of technologies that mitigate drought risk: The case of drought-tolerant maize seed in eastern Uganda,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1007/s10584-015-1459-2,Drought tolerant maize for farmer adaptation to drought in sub-Saharan Africa: Determinants of adoption in eastern and southern Africa,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1016/j.cropro.2015.06.014,Gender specific perceptions and adoption of the climate-smart push-pull technology in eastern Africa,neither,not_found
10.1016/j.gloenvcha.2015.06.003,How resilient are farming households and communities to a changing climate in Africa? A gender-based perspective,process_only,knowledge_awareness_learning; behavioral_change
10.1016/j.fcr.2015.05.022,Climate-adapted companion cropping increases agricultural productivity in East Africa,neither,not_found
10.1016/j.agsy.2015.02.011,"Improving crop production for food security and improved livelihoods on the East India Plateau II. Crop options, alternative cropping systems and capacity building",both,decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; yields_productivity; income_assets
10.1016/j.agsy.2015.01.008,Improving crop production for food security and improved livelihoods on the East India Plateau. I. Rainfall-related risks with rice and opportunities for improved cropping systems,both,decision_making_planning; yields_productivity
10.5751/es-07511-200218,Adaptive management in crop pest control in the face of climate variability: An agent-based modeling approach,process_only,decision_making_planning; behavioral_change; institutional_governance
10.1016/j.agrformet.2015.02.006,Adaptation to climate change: The impacts of optimized planting dates on attainable maize yields under rainfed conditions in Burkina Faso,both,decision_making_planning; yields_productivity
10.1016/j.agsy.2015.02.010,Effects of technical interventions on flexibility of farming systems in Burkina Faso: Lessons for the design of innovations in West Africa,both,decision_making_planning; uptake_adoption; risk_reduction
10.5194/esd-6-225-2015,"Farmers' perceptions of and adaptation strategies to climate change and their determinants: The case of Punjab province, Pakistan",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction
10.1017/s174217051300029x,"Agroecosystem resilience and farmers' perceptions of climate change impacts on cocoa farms in Alto Beni, Bolivia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance; yields_productivity
10.1080/21513732.2015.1027793,"Ecosystem services and livelihoods in a changing climate: Understanding local adaptations in the Upper Koshi, Nepal",neither,
10.1016/j.gloenvcha.2014.12.010,A socio-psychological model for analyzing climate change adaptation: A case study of Sri Lankan paddy farmers,process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change
10.1016/j.gloenvcha.2014.12.008,"Understanding the causes and consequences of differential decision-making in adaptation research: Adapting to a delayed monsoon onset in Gujarat, India",process_only,decision_making_planning; uptake_adoption; behavioral_change
