dedupe_key,doi,scopus_id,title,year,pub,manually_retrieved
ty:economiesocialandecologicalimpactsonbrazilofacceleratedliberalisationoftheeuropeansugarmarket:2007,,36649023342,"Economie, social and ecological impacts on Brazil of accelerated liberalisation of the European sugar market",2007,Geographische Rundschau,
ty:tradeoffsbetweenincomeanderosioninasmallwatershedgisandeconomicmodelingintherojalapawatershedhonduras:2007,,84898372551,"Trade-offs between income and erosion in a small watershed: GIS and economic modeling in the río jalapa watershed, honduras",2007,Making World Development Work Scientific Alternatives to Neoclassical Economic Theory,
ty:eoenabledoptimizationofcroppingsystemindroughtproneregionsofindiaanexperiinceinvidarbharegion:2007,,54949139976,EO enabled optimization of cropping system in drought prone regions of India: An experiince in vidarbha region,2007,International Astronautical Federation 58th International Astronautical Congress 2007,
ty:simulationmodelingforcharacterizingstrategicstreamwateravailabilityinthetascalapariverwatershedhonduras:2007,,84898124195,"Simulation modeling for characterizing strategic streamwater availability in the tascalapa river Watershed, Honduras",2007,Making World Development Work Scientific Alternatives to Neoclassical Economic Theory,
ty:shrimpcultureinlatinamericaaneconomicexperimentoutofcontrolandthesocialissuesofhightechsolutions:2007,,84898113725,"Shrimp culture in Latin America: An economic experiment out of control, and the social issues of high-tech solutions",2007,Making World Development Work Scientific Alternatives to Neoclassical Economic Theory,
ty:spacebasedsocietalapplicationsrelevanceindevelopingcountries:2007,,55849118494,Space based societal applications - Relevance in developing countries,2007,International Astronautical Federation 58th International Astronautical Congress 2007,
ty:assessingandhighlightingforestchangeinthetropicsusingmultiscaledatasets:2007,,84898342452,Assessing and highlighting forest change in the tropics using multiscale data sets,2007,Making World Development Work Scientific Alternatives to Neoclassical Economic Theory,
ty:livestockproductioninpastoralandagropastoralproductionsystemsofsouthernethiopia:2007,,37349065533,Livestock production in pastoral and agro-pastoral production systems of southern Ethiopia,2007,Livestock Research for Rural Development,
ty:hydrologicalimpactsoffieldinterventionsinsmallholderfarmingsystemsacasestudyofmakanyacatchmentinsemiaridnortherntanzania:2007,,55749098501,Hydrological impacts of field interventions in smallholder farming systems: A case study of Makanya catchment in semi-arid northern Tanzania,2007,IAHS AISH Publication,
ty:integratedwatermanagementfortheepitciopessoareservoirinthesemiaridregionofbrazil:2007,,55849087332,Integrated water management for the epitácio pessoa reservoir in the semi-arid region of brazil,2007,IAHS AISH Publication,
ty:voicesofthepoorandmarginalizedtheytoohaveexpectationsfromspace:2007,,55649119598,Voices of the poor and marginalized: They too have expectations from space,2007,International Astronautical Federation 58th International Astronautical Congress 2007,
ty:impactassessmentofsorghumresearchinzambia:2007,,79955792404,Impact assessment of Sorghum research in Zambia,2007,Impact of Science on African Agriculture and Food Security,
doi:10.1007/s10584-006-9205-4,10.1007/s10584-006-9205-4,34447098231,Adaptation to climate change and variability: Farmer responses to intra-seasonal precipitation trends in South Africa,2007,Climatic Change,
ty:aburningissue:2007,,34447107245,A burning issue,2007,World Watch,
ty:insuranceagainstcovariateshockstheroleofindexbasedinsuranceinsocialprotectioninlowincomecountriesofafrica:2007,,34249807027,Insurance against covariate shocks: The role of index-based insurance in social protection in low-income countries of Africa,2007,World Bank Working Paper,
ty:impactofnaturaldisastersonlivestockfarmersthecaseoforissasupercycloneof1999inindia:2007,,34548634676,Impact of natural disasters on livestock farmers: The case of Orissa supercyclone of 1999 in India,2007,Indian Journal of Animal Sciences,
ty:strategiesforlivestockdevelopmentinrainfedagroecosystemofindia:2007,,34250024260,Strategies for livestock development in rainfed agro-ecosystem of India,2007,Livestock Research for Rural Development,
ty:thinkingaboutdevelopmentoffloodavoidingandwaterloggingresistingecologicalagricultureacasestudyontheareaofcroplandreturnedtolakeindongtinglake:2007,,35348969718,Thinking about development of flood-avoiding and waterlogging-resisting ecological agriculture: A case study on the area ofcropland returned to lake in Dongting Lake,2007,Journal of Natural Disasters,
ty:lowcostmicrorainwaterharvestingtechnologyjalkundfornewlivelihoodofruralhillfarmers:2007,,34249710299,Low-cost micro-rainwater harvesting technology (Jalkund) for new livelihood of rural hill farmers,2007,Current Science,
doi:10.1111/j.1574-0862.2007.00196.x,10.1111/j.1574-0862.2007.00196.x,33847055167,Coping with flood: Role of institutions in Bangladesh,2007,Agricultural Economics,
ty:variationofhydrologicalcharacteristicsoftianmulakeanditseffectonthetianmuhuwetlandandecologicalenvironmentofthetianmulake:2007,,34247517827,Variation of hydrological characteristics of Tianmu Lake and its effect on the Tianmuhu wetland and ecological environment of the Tianmu Lake,2007,Wetland Science,
ty:implementationofinitiativesforaddressingclimatechangeandlanddegradationalookatthephilippinecontext:2007,,85108916360,Implementation of initiatives for addressing climate change and land degradation: A look at the Philippine context,2007,Environmental Science and Engineering,
doi:10.1007/978-3-540-72438-4_25,10.1007/978-3-540-72438-4_25,85028862304,Implementation of initiatives for addressing climate change and land degradation: A look at the philippine context,2007,Environmental Science and Engineering Subseries Environmental Science,
ty:farmersvulnerabilitytofloodinginthepoyanglakeregion:2007,,34250343685,Farmers' vulnerability to flooding in the Poyang Lake Region,2007,Dili Xuebao Acta Geographica Sinica,
ty:adoptionprofitabilityimpactsandscalingupofagroforestrytechnologiesinsouthernafricancountries:2007,,85055919569,"Adoption, profitability, impacts, and scaling up of agroforestry technologies in Southern African countries",2007,Ecological Basis of Agroforestry,
ty:seawaterintrusionmodellingforthegabescoastalaquifersystemsoutherntunisia:2007,,55849113772,Seawater intrusion modelling for the gabes coastal aquifer system (Southern Tunisia),2007,IAHS AISH Publication,
ty:reuseandcyclicuseofwatersavinginricecultivationingravityirrigationsystemofphilippines:2007,,85086401166,Re-use and cyclic use of water saving in rice cultivation in gravity irrigation system of Philippines,2007,Modsim 2007 International Congress on Modelling and Simulation Land Water and Environmental Management Integrated Systems for Sustainability Proceedings,
ty:mosquitocomplexdipteraculicidaeinawestnilefeverfocusinthevolgogradregionispeciesdiversityandrelativeabundanceindifferenthabitats:2007,,34250652183,"Mosquito complex (Diptera, Culicidae) in a West Nile fever focus in the Volgograd region. I. Species diversity and relative abundance in different habitats",2007,Meditsinskaia Parazitologiia I Parazitarnye Bolezni,
doi:10.3354/cr033111,10.3354/cr033111,34250693577,Who can eat information? Examining the effectiveness of seasonal climate forecasts and regional climate-risk management strategies,2006,Climate Research,
doi:10.1080/07900620600779723,10.1080/07900620600779723,33845420543,"Farmers' perception of water management under drought conditions in the upper Awash Basin, Ethiopia",2006,International Journal of Water Resources Development,
ty:nopesticides:2006,,33846439824,No pesticides,2006,Appropriate Technology,
doi:10.3917/afco.217.89,10.3917/afco.217.89,67649333136,Résilience des communautés rurales face à la crise écologique et foncière du sahel l'exemple de la vallée d'arewa (niger central),2006,Afrique Contemporaine,
ty:informationandcommunicationtechnologyictmediatedopendistancelearningodlmethodsforagriculturalextensionacasestudyfromadroughtproneareaofruralsouthasia:2006,,58249123364,Information and communication technology (Ict) mediated open distance learning (Odl) methods for agricultural extension: A case study from a drought prone area of rural South Asia,2006,Computers in Agriculture and Natural Resources Proceedings of the 4th World Congress,
ty:theplantindicatormethodpimformappingcropyieldsinresponsetodroughtsoilsalinityandotherstresses:2006,,84867814086,"The Plant Indicator Method (PIM) for mapping crop yields in response to drought, soil salinity, and other stresses",2006,American Society for Photogrammetry and Remote Sensing 20th Biennial Workshop on Aerial Photography Videography and High Resolution Digital Imagery for Resource Assessment 2005,
ty:effectsofmineralnandpfertilizersonyieldandyieldcomponentsoffloodedlowlandriceonvertisolsoffogeraplainethiopia:2006,,33846869079,"Effects of mineral N and P fertilizers on yield and yield components of flooded lowland rice on Vertisols of Fogera Plain, Ethiopia",2006,Journal of Agriculture and Rural Development in the Tropics and Subtropics,
ty:seasonalandinterannualvariationsofoceanographicconditionsinthesoutherntatarstrait:2006,,33947521259,Seasonal and interannual variations of oceanographic conditions in the southern Tatar Strait,2006,Russian Meteorology and Hydrology,
ty:strategicprioritiesforagriculturaldevelopmentineasternandcentralafrica:2006,,34948869866,Strategic priorities for agricultural development in Eastern and Central Africa,2006,Research Report of the International Food Policy Research Institute,
ty:fishinginpreeuropeannewzealand:2006,,56149124002,Fishing in pre-European New Zealand,2006,Archaeofauna,
doi:10.3167/082279406781020428,10.3167/082279406781020428,34047126785,"Camel husbandry among pastoralists in Darfur, Western Sudan",2006,Nomadic Peoples,
ty:mitigationsobservedimpactsonthedownstreamsfishpopulationsonyacyrethydropower:2006,,56249131774,"Mitigation's observed impacts on the downstream's fish populations, on Yacyretá Hydropower",2006,Proceedings of the International Symposium on Dams in the Societies of the 21st Century Icold Spancold Dams and Reservoirs Societies and Environment in the 21st Century,
doi:10.1061/(asce)0733-9496(2006)132:6(403,10.1061/(asce)0733-9496(2006)132:6(403,33751235241,Effect of forecast-Based pricing on irrigated agriculture: A simulation,2006,Journal of Water Resources Planning and Management,
ty:floodmonitoringinasemiaridenvironmentusingspatiallyhighresolutionasarandopticaldata:2006,,34249725549,Flood monitoring in a semi-arid environment using spatially high resolution asar and optical data,2006,European Space Agency Special Publication ESA SP,
ty:agriculturalhealthinthegambiaiiasystematicsurveyofsafetyandinjuriesinproductionagriculture:2006,,33746456911,Agricultural health in The Gambia II: A systematic survey of safety and injuries in production agriculture,2006,Annals of Agricultural and Environmental Medicine,
ty:contributionofrainwaterharvestingtechnologiestorurallivelihoodsinzimbabwethecaseofngunduwardinchividistrict:2006,,33746102182,Contribution of rainwater harvesting technologies to rural livelihoods in Zimbabwe: The case of Ngundu ward in Chivi District,2006,Water SA,
ty:socialandenvironmentalimpactofrapidchangeinthecoastalzoneofvietnamanassessmentofsustainabilityissues:2006,,84890195281,Social and environmental impact of rapid change in the coastal zone of Vietnam: An assessment of sustainability issues,2006,Environment and Livelihoods in Tropical Coastal Zones Managing Agriculture Fishery Aquaculture Conflicts,
ty:climatechangeandclimatevariabilityimpactsonrainfedagriculturalactivitiesandpossibleadaptationmeasuresamexicancasestudy:2006,,33746386926,Climate change and climate variability impacts on rainfed agricultural activities and possible adaptation measures. A Mexican case study,2006,Atmosfera,
ty:subsoilingastrategytocombatwaterscarcityandenhancedproductivityofgroundnutcrop:2006,,33845809506,Subsoiling - A strategy to combat water scarcity and enhanced productivity of groundnut crop,2006,AMA Agricultural Mechanization in Asia Africa and Latin America,
ty:livelihooddiversificationandlandusechangeinthesahelaninterdisciplinaryanalysisofgumarabicinsudan:2006,,33645916387,Livelihood diversification and land use change in the Sahel: An interdisciplinary analysis of gum arabic in Sudan,2006,Meddelanden Fran Lunds Universitets Geografiska Institutioner Avhandlingar,
doi:10.1201/9780203963562.part3,10.1201/9780203963562.part3,84857497301,"Post-harvest management strategies, drought vulnerability and food security",2006,Risk21 Coping with Risks Due to Natural Hazards in the 21st Century Proceedings of the Risk21 Workshop,
ty:effectofinsitusoilmoistureconservationpracticesonsoilmoisturestorageandyieldofmaizezeamayslinarainfedfoothillregionofnorthwestindia:2006,,84865473437,Effect of in-situ soil moisture conservation practices on soil moisture storage and yield of maize (Zea mays L.) in a rainfed foothill region of North-West India,2006,Tropical Agriculture,
ty:anassessmentoftheoperationofagriculturalinsuranceschemeinnigeria:2005,,28644435262,An assessment of the operation of agricultural insurance scheme in Nigeria,2005,Savings and Development,
doi:10.1111/j.1475-4959.2005.00174.x,10.1111/j.1475-4959.2005.00174.x,33745251069,The dynamics of vulnerability: Locating coping strategies in Kenya and Tanzania,2005,Geographical Journal,
ty:oceanicobservationandinvestigationforutilizationofoceanenergyinthefiji:2005,,33646683362,Oceanic observation and investigation for utilization of ocean energy in the Fiji,2005,Proceedings of the International Offshore and Polar Engineering Conference,
ty:themekongapplicationsofvalueatriskvarandconditionalvalueatriskcvarsimulationtothebenefitscostsandconsequencesofwaterresourcesdevelopmentinalargeriverbasin:2005,,80053101900,"The Mekong - Applications of value at risk (VaR) and conditional value at risk (CVaR) simulation to the benefits, costs and consequences of water resources development in a large river basin",2005,Modsim05 International Congress on Modelling and Simulation Advances and Applications for Management and Decision Making Proceedings,
