query_name,total_results,timestamp_utc,error,rate_limit_limit,rate_limit_remaining,rate_limit_reset,_group
C_concept__adaptation_actions,567506,2026-01-09T20:30:08Z,,20000,20000,1768552208,C_concept
C_concept__capacities_knowledge,204492,2026-01-09T20:30:08Z,,20000,19999,1768552208,C_concept
C_concept__livelihood_productivity,319555,2026-01-09T20:30:08Z,,20000,19998,1768552208,C_concept
C_concept__maladaptation,38015,2026-01-09T20:30:08Z,,20000,19997,1768552208,C_concept
C_concept__resilience_outcomes,1301884,2026-01-09T20:30:08Z,,20000,19996,1768552208,C_concept
C_context_agriculture__ag_systems,2526486,2026-01-09T20:30:08Z,,20000,19995,1768552208,C_context_agriculture
C_context_climate__climate_framing,715734,2026-01-09T20:30:08Z,,20000,19994,1768552208,C_context_climate
C_context_climate__hazards,1069758,2026-01-09T20:30:08Z,,20000,19993,1768552208,C_context_climate
M__measurement_eval,35209039,2026-01-09T20:30:08Z,,20000,19992,1768552208,M
P__agroforestry_tree,3332,2026-01-09T20:30:08Z,,20000,19991,1768552208,P
P__fisheries_aquaculture,297051,2026-01-09T20:30:08Z,,20000,19990,1768552208,P
P__households_poverty,29071,2026-01-09T20:30:08Z,,20000,19989,1768552208,P
P__livestock_pastoral,19228,2026-01-09T20:30:08Z,,20000,19988,1768552208,P
P__marginalized_groups,14908146,2026-01-09T20:30:08Z,,20000,19987,1768552208,P
P__smallholder_small_scale,33907,2026-01-09T20:30:08Z,,20000,19986,1768552208,P
C_concept__ALL,2287990,2026-01-09T20:30:08Z,,20000,19985,1768552208,C_concept
C_context_agriculture__ALL,2526486,2026-01-09T20:30:08Z,,20000,19984,1768552208,C_context_agriculture
C_context_climate__ALL,1642840,2026-01-09T20:30:08Z,,20000,19983,1768552208,C_context_climate
M__ALL,35209039,2026-01-09T20:30:08Z,,20000,19982,1768552208,M
P__ALL,15203933,2026-01-09T20:30:08Z,,20000,19981,1768552208,P
TOTAL__ALL,9102,2026-01-09T20:30:08Z,,20000,19980,1768552208,TOTAL
