title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
Adapting agriculture to climate change,2007-12-11,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0701890104,2-s2.0-38049117743,38049117743,1586,https://api.elsevier.com/content/abstract/scopus_id/38049117743
The impact of climate change on smallholder and subsistence agriculture,2007-12-11,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0701855104,2-s2.0-38049160125,38049160125,1189,https://api.elsevier.com/content/abstract/scopus_id/38049160125
Strategic science for coral ecosystems 2007-2011,2007-12-01,US Geological Survey Circular,,2-s2.0-84857332032,84857332032,0,https://api.elsevier.com/content/abstract/scopus_id/84857332032
Hydrological impacts of field interventions in smallholder farming systems: A case study of Makanya catchment in semi-arid northern Tanzania,2007-12-01,IAHS AISH Publication,,2-s2.0-55749098501,55749098501,0,https://api.elsevier.com/content/abstract/scopus_id/55749098501
Effects of the tsunami on fisheries and coastal livelihood: A case study of tsunami-ravaged southern Sri Lanka,2007-12-01,Disasters,10.1111/j.1467-7717.2007.01015.x,2-s2.0-36348968921,36348968921,68,https://api.elsevier.com/content/abstract/scopus_id/36348968921
Modeling spawning dates of Hucho taimen in Mongolia to establish fishery management zones,2007-12-01,Ecological Applications,10.1890/06-1781.1,2-s2.0-39349112676,39349112676,10,https://api.elsevier.com/content/abstract/scopus_id/39349112676
Space based societal applications - Relevance in developing countries,2007-12-01,International Astronautical Federation 58th International Astronautical Congress 2007,,2-s2.0-55849118494,55849118494,2,https://api.elsevier.com/content/abstract/scopus_id/55849118494
Voices of the poor and marginalized: They too have expectations from space,2007-12-01,International Astronautical Federation 58th International Astronautical Congress 2007,,2-s2.0-55649119598,55649119598,1,https://api.elsevier.com/content/abstract/scopus_id/55649119598
Livestock production in pastoral and agro-pastoral production systems of southern Ethiopia,2007-12-01,Livestock Research for Rural Development,,2-s2.0-37349065533,37349065533,62,https://api.elsevier.com/content/abstract/scopus_id/37349065533
Analysing resilience in dryland agro-ecosystems: A case study of the Makanya catchment in Tanzania over the past 50 years,2007-11-01,Land Degradation and Development,10.1002/ldr.807,2-s2.0-37449034307,37449034307,76,https://api.elsevier.com/content/abstract/scopus_id/37449034307
Market-resource links and fish vendor livelihoods in the upper Zambezi river floodplains,2007-10-01,Human Ecology,10.1007/s10745-006-9102-5,2-s2.0-34848909224,34848909224,20,https://api.elsevier.com/content/abstract/scopus_id/34848909224
Community based fisheries management and fisher livelihoods: Bangladesh case studies,2007-10-01,Human Ecology,10.1007/s10745-006-9092-3,2-s2.0-34848836303,34848836303,34,https://api.elsevier.com/content/abstract/scopus_id/34848836303
Collective arrangements and social networks: Coping strategies for the poor households in the Great Ruaha Catchment in Tanzania,2007-09-17,Physics and Chemistry of the Earth,10.1016/j.pce.2007.07.026,2-s2.0-34548565627,34548565627,10,https://api.elsevier.com/content/abstract/scopus_id/34548565627
Rainwater harvesting to enhance water productivity of rainfed agriculture in the semi-arid Zimbabwe,2007-09-17,Physics and Chemistry of the Earth,10.1016/j.pce.2007.07.011,2-s2.0-34548599647,34548599647,68,https://api.elsevier.com/content/abstract/scopus_id/34548599647
"The influence of tillage on field scale water fluxes and maize yields in semi-arid environments: A case study of Potshini catchment, South Africa",2007-09-17,Physics and Chemistry of the Earth,10.1016/j.pce.2007.07.027,2-s2.0-34548593182,34548593182,29,https://api.elsevier.com/content/abstract/scopus_id/34548593182
"Integration of smallholder wetland aquaculture-agriculture systems (fingerponds) into riparian farming systems on the shores of Lake Victoria, Kenya: Socio-economics and livelihoods",2007-09-01,Geographical Journal,10.1111/j.1475-4959.2007.00246.x,2-s2.0-34548358575,34548358575,29,https://api.elsevier.com/content/abstract/scopus_id/34548358575
Predictability of reef fish recruitment in a highly variable nursery habitat,2007-09-01,Ecology,10.1890/06-0857.1,2-s2.0-38449095312,38449095312,66,https://api.elsevier.com/content/abstract/scopus_id/38449095312
Benefits of organic residues and chemical fertilizer to productivity of rain-fed lowland rice and to soil nutrient balances,2007-09-01,Nutrient Cycling in Agroecosystems,10.1007/s10705-007-9095-5,2-s2.0-34547528812,34547528812,34,https://api.elsevier.com/content/abstract/scopus_id/34547528812
"Climate change, adaptive capacity and policy direction in the Canadian North: Can we learn anything from the collapse of the east coast cod fishery?",2007-08-01,Mitigation and Adaptation Strategies for Global Change,10.1007/s11027-006-9053-6,2-s2.0-34447632340,34447632340,22,https://api.elsevier.com/content/abstract/scopus_id/34447632340
Views from the vulnerable: Understanding climatic and other stressors in the Sahel,2007-08-01,Global Environmental Change,10.1016/j.gloenvcha.2006.11.008,2-s2.0-34548542952,34548542952,344,https://api.elsevier.com/content/abstract/scopus_id/34548542952
Domesticated nature: Shaping landscapes and ecosystems for human welfare,2007-06-29,Science,10.1126/science.1140170,2-s2.0-34347369183,34347369183,780,https://api.elsevier.com/content/abstract/scopus_id/34347369183
Insurance against covariate shocks: The role of index-based insurance in social protection in low-income countries of Africa,2007-06-06,World Bank Working Paper,,2-s2.0-34249807027,34249807027,10,https://api.elsevier.com/content/abstract/scopus_id/34249807027
Effects of husbandry and management systems on physiology and behaviour of farmed and laboratory rabbits,2007-06-01,Hormones and Behavior,10.1016/j.yhbeh.2007.03.024,2-s2.0-34249287663,34249287663,92,https://api.elsevier.com/content/abstract/scopus_id/34249287663
Strategies for livestock development in rainfed agro-ecosystem of India,2007-06-01,Livestock Research for Rural Development,,2-s2.0-34250024260,34250024260,8,https://api.elsevier.com/content/abstract/scopus_id/34250024260
Impact of natural disasters on livestock farmers: The case of Orissa supercyclone of 1999 in India,2007-06-01,Indian Journal of Animal Sciences,,2-s2.0-34548634676,34548634676,2,https://api.elsevier.com/content/abstract/scopus_id/34548634676
Low input approaches for soil fertility management in semiarid eastern Uganda,2007-05-01,Agronomy Journal,10.2134/agronj2006.0238,2-s2.0-34249038713,34249038713,23,https://api.elsevier.com/content/abstract/scopus_id/34249038713
"Traditional ecological knowledge of a riverine forest in Turkana, Kenya: Implications for research and management",2007-05-01,Biodiversity and Conservation,10.1007/s10531-006-9016-y,2-s2.0-34250898124,34250898124,58,https://api.elsevier.com/content/abstract/scopus_id/34250898124
