citation_raw,record_key,title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
Karki G. (2021) 'Climate change adaptation governance in Nepal: A framework for sustainable generationof adaptation services'. Banko Janakari. https://doi.org/10.3126/banko.v31i2.41900,10.3126/banko.v31i2.41900,Climate change adaptation governance in Nepal: A framework for sustainable generationof adaptation services,2021-12-31,Banko Janakari,10.3126/banko.v31i2.41900,2-s2.0-85124912629,85124912629,4,https://api.elsevier.com/content/abstract/scopus_id/85124912629
Watson J. (2021) 'Design by Radical Indigenism Equitable Underwater & Intertidal Technologies of the Global South'. Spool. https://doi.org/10.7480/spool.2021.3.6217,10.7480/spool.2021.3.6217,Design by Radical Indigenism Equitable Underwater & Intertidal Technologies of the Global South,2021-12-31,Spool,10.7480/spool.2021.3.6217,2-s2.0-85127057794,85127057794,4,https://api.elsevier.com/content/abstract/scopus_id/85127057794
"Masagca J.T. (2021) 'Political ecology and social representations on mangrove conservation, rehabilitation and restoration in catanduanes island, philippines'. Aacl Bioflux.",politicalecologyandsocialrepresentationsonmangroveconservationrehabilitationandrestorationincatanduanesislandphilippines,"Political ecology and social representations on mangrove conservation, rehabilitation and restoration in catanduanes island, philippines",2021-12-30,Aacl Bioflux,,2-s2.0-85120813011,85120813011,1,https://api.elsevier.com/content/abstract/scopus_id/85120813011
Fernández-Giménez M.E. (2021) 'Ilemchane Transhumant Pastoralists' Traditional Ecological Knowledge and Adaptive Strategies: Continuity and Change in Morocco's High Atlas Mountains'. Mountain Research and Development. https://doi.org/10.1659/mrd-journal-d-21-00028.1,10.1659/mrd-journal-d-21-00028.1,Ilemchane Transhumant Pastoralists' Traditional Ecological Knowledge and Adaptive Strategies: Continuity and Change in Morocco's High Atlas Mountains,2021-12-27,Mountain Research and Development,10.1659/mrd-journal-d-21-00028.1,2-s2.0-85141313325,85141313325,12,https://api.elsevier.com/content/abstract/scopus_id/85141313325
Gallois S. (2021) 'The Cost of Gathering Among the Baka Forager-Horticulturalists From Southeastern Cameroon'. Frontiers in Ecology and Evolution. https://doi.org/10.3389/fevo.2021.768003,10.3389/fevo.2021.768003,The Cost of Gathering Among the Baka Forager-Horticulturalists From Southeastern Cameroon,2021-12-23,Frontiers in Ecology and Evolution,10.3389/fevo.2021.768003,2-s2.0-85122313481,85122313481,12,https://api.elsevier.com/content/abstract/scopus_id/85122313481
Nabiev U.A. (2021) 'Solution of sowing methods and seeding rates for the intraductive kenaf (Hibiscus cannabinus) seeds'. Iop Conference Series Earth and Environmental Science. https://doi.org/10.1088/1755-1315/937/2/022108,10.1088/1755-1315/937/2/022108,Solution of sowing methods and seeding rates for the intraductive kenaf (Hibiscus cannabinus) seeds,2021-12-21,Iop Conference Series Earth and Environmental Science,10.1088/1755-1315/937/2/022108,2-s2.0-85122353171,85122353171,0,https://api.elsevier.com/content/abstract/scopus_id/85122353171
Chitakira M. (2021) 'Uptake of Climate Smart Agriculture in Peri-Urban Areas of South Africa's Economic Hub Requires Up-Scaling'. Frontiers in Sustainable Food Systems. https://doi.org/10.3389/fsufs.2021.706738,10.3389/fsufs.2021.706738,Uptake of Climate Smart Agriculture in Peri-Urban Areas of South Africa's Economic Hub Requires Up-Scaling,2021-12-20,Frontiers in Sustainable Food Systems,10.3389/fsufs.2021.706738,2-s2.0-85122190596,85122190596,27,https://api.elsevier.com/content/abstract/scopus_id/85122190596
Bailey M. (2021) 'Warming-driven changes in Arctic fish communities must not leave local Indigenous communities out in the cold'. One Earth. https://doi.org/10.1016/j.oneear.2021.11.020,10.1016/j.oneear.2021.11.020,Warming-driven changes in Arctic fish communities must not leave local Indigenous communities out in the cold,2021-12-17,One Earth,10.1016/j.oneear.2021.11.020,2-s2.0-85123381941,85123381941,3,https://api.elsevier.com/content/abstract/scopus_id/85123381941
Barron J. (2021) 'Building Climate Resilience in Rainfed Landscapes Needs More Than Good Will'. Frontiers in Climate. https://doi.org/10.3389/fclim.2021.735880,10.3389/fclim.2021.735880,Building Climate Resilience in Rainfed Landscapes Needs More Than Good Will,2021-12-16,Frontiers in Climate,10.3389/fclim.2021.735880,2-s2.0-85123115324,85123115324,7,https://api.elsevier.com/content/abstract/scopus_id/85123115324
"Dassir M. (2021) 'Resilience Level of Highland and Smallholder Farmers in Developing Various Coping-Based Agroforestry in the Upstream Minraleng Sub-Watershed, Maros District'. Iop Conference Series Earth and Environmental Science. https://doi.org/10.1088/1755-1315/921/1/012016",10.1088/1755-1315/921/1/012016,"Resilience Level of Highland and Smallholder Farmers in Developing Various Coping-Based Agroforestry in the Upstream Minraleng Sub-Watershed, Maros District",2021-12-16,Iop Conference Series Earth and Environmental Science,10.1088/1755-1315/921/1/012016,2-s2.0-85122145808,85122145808,0,https://api.elsevier.com/content/abstract/scopus_id/85122145808
