citation_raw,record_key,title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
"Villanueva R. (2026) 'Collection, handling and care of cephalopod eggs'. Reviews in Fish Biology and Fisheries. https://doi.org/10.1007/s11160-025-10017-0",10.1007/s11160-025-10017-0,"Collection, handling and care of cephalopod eggs",2026-12-01,Reviews in Fish Biology and Fisheries,10.1007/s11160-025-10017-0,2-s2.0-105024081331,105024081331,0,https://api.elsevier.com/content/abstract/scopus_id/105024081331
"Tine M. (2026) 'The black-chinned tilapia Sarotherodon melanotheron, a model for environmental genomics and aquaculture resilience in the Western African’s context of climate change'. Reviews in Fish Biology and Fisheries. https://doi.org/10.1007/s11160-025-10009-0",10.1007/s11160-025-10009-0,"The black-chinned tilapia Sarotherodon melanotheron, a model for environmental genomics and aquaculture resilience in the Western African’s context of climate change",2026-12-01,Reviews in Fish Biology and Fisheries,10.1007/s11160-025-10009-0,2-s2.0-105023212167,105023212167,0,https://api.elsevier.com/content/abstract/scopus_id/105023212167
Damore S.M. (2026) 'Call to action: climate change and health threats to the Pacific Islands'. Tropical Medicine and Health. https://doi.org/10.1186/s41182-025-00848-9,10.1186/s41182-025-00848-9,Call to action: climate change and health threats to the Pacific Islands,2026-12-01,Tropical Medicine and Health,10.1186/s41182-025-00848-9,2-s2.0-105026340755,105026340755,0,https://api.elsevier.com/content/abstract/scopus_id/105026340755
Kassa G. (2026) 'Challenges and prospects of cotton farming in the tropics: lessons for northern Australia'. Journal of Cotton Research. https://doi.org/10.1186/s42397-025-00249-7,10.1186/s42397-025-00249-7,Challenges and prospects of cotton farming in the tropics: lessons for northern Australia,2026-12-01,Journal of Cotton Research,10.1186/s42397-025-00249-7,2-s2.0-105026906954,105026906954,0,https://api.elsevier.com/content/abstract/scopus_id/105026906954
Omotoso A.B. (2026) 'Impacts of climate change adaptation mechanisms on smallholder maize (Zea mays L.) farmers’ productivity'. Sustainable Futures. https://doi.org/10.1016/j.sftr.2025.101613,10.1016/j.sftr.2025.101613,Impacts of climate change adaptation mechanisms on smallholder maize (Zea mays L.) farmers’ productivity,2026-06-01,Sustainable Futures,10.1016/j.sftr.2025.101613,2-s2.0-105025142444,105025142444,0,https://api.elsevier.com/content/abstract/scopus_id/105025142444
Baffour-Ata F. (2026) 'Analysis of the perceived economic impacts of climate change on vegetable growers in Ghana: A case study of the Kumasi Metropolis'. Nature Based Solutions. https://doi.org/10.1016/j.nbsj.2025.100290,10.1016/j.nbsj.2025.100290,Analysis of the perceived economic impacts of climate change on vegetable growers in Ghana: A case study of the Kumasi Metropolis,2026-06-01,Nature Based Solutions,10.1016/j.nbsj.2025.100290,2-s2.0-105023473799,105023473799,0,https://api.elsevier.com/content/abstract/scopus_id/105023473799
Logie C.H. (2026) 'Psychosocial stressors related to extreme weather events and multiple resource insecurities: qualitative insights from refugee youth in an Ugandan humanitarian setting'. Ssm Mental Health. https://doi.org/10.1016/j.ssmmh.2025.100579,10.1016/j.ssmmh.2025.100579,Psychosocial stressors related to extreme weather events and multiple resource insecurities: qualitative insights from refugee youth in an Ugandan humanitarian setting,2026-06-01,Ssm Mental Health,10.1016/j.ssmmh.2025.100579,2-s2.0-105025581368,105025581368,0,https://api.elsevier.com/content/abstract/scopus_id/105025581368
Fisiha T.T. (2026) 'Impact of climate change adaptation on welfare and child nutrition of farm households in rural Ethiopia: A panel data analysis'. World Development. https://doi.org/10.1016/j.worlddev.2025.107269,10.1016/j.worlddev.2025.107269,Impact of climate change adaptation on welfare and child nutrition of farm households in rural Ethiopia: A panel data analysis,2026-04-01,World Development,10.1016/j.worlddev.2025.107269,2-s2.0-105024350263,105024350263,0,https://api.elsevier.com/content/abstract/scopus_id/105024350263
"Panja A. (2026) 'Mapping resilience pathway of smallholder farming community to cyclone-led climate disasters in coastal West Bengal, India'. Global Environmental Change. https://doi.org/10.1016/j.gloenvcha.2025.103108",10.1016/j.gloenvcha.2025.103108,"Mapping resilience pathway of smallholder farming community to cyclone-led climate disasters in coastal West Bengal, India",2026-03-01,Global Environmental Change,10.1016/j.gloenvcha.2025.103108,2-s2.0-105025685566,105025685566,0,https://api.elsevier.com/content/abstract/scopus_id/105025685566
"Badiane A. (2026) 'Landscapes of uncertainty: Mangrove rice farmers' perceptions of rainfall variability and climate change adaptation in three coastal regions of Guinea-Bissau, West Africa'. Agricultural Water Management. https://doi.org/10.1016/j.agwat.2026.110120",10.1016/j.agwat.2026.110120,"Landscapes of uncertainty: Mangrove rice farmers' perceptions of rainfall variability and climate change adaptation in three coastal regions of Guinea-Bissau, West Africa",2026-03-01,Agricultural Water Management,10.1016/j.agwat.2026.110120,2-s2.0-105026614765,105026614765,0,https://api.elsevier.com/content/abstract/scopus_id/105026614765
