scopus_id,doi,title,coverDate,publicationName,abstract,abstract_source,url,landing_url,pdf_url,is_oa,error,fetch_status,timestamp_utc
38049160125,10.1073/pnas.0701855104,The impact of climate change on smallholder and subsistence agriculture,2007-12-11,Proceedings of the National Academy of Sciences of the United States of America,"Some of the most important impacts of global climate change will be felt among the populations, predominantly in developing countries, referred to as “subsistence” or “smallholder” farmers. Their vulnerability to climate change comes both from being predominantly located in the tropics, and from various socioeconomic, demographic, and policy trends limiting their capacity to adapt to change. However, these impacts will be difficult to model or predict because of ( i ) the lack of standardised definitions of these sorts of farming system, and therefore of standard data above the national level, ( ii ) intrinsic characteristics of these systems, particularly their complexity, their location-specificity, and their integration of agricultural and nonagricultural livelihood strategies, and ( iii ) their vulnerability to a range of climate-related and other stressors. Some recent work relevant to these farming systems is reviewed, a conceptual framework for understanding the diverse forms of impacts in an integrated manner is proposed, and future research needs are identified.",openalex,https://openalex.org/W2114926945,https://doi.org/10.1073/pnas.0701855104,,,"elsevier_api: HTTP 404: {""service-error"":{""status"":{""statusCode"":""RESOURCE_NOT_FOUND"",""statusText"":""The resource specified cannot be found.""}}}",ok,2026-01-01T23:52:02Z
84957932684,10.1007/s12571-016-0554-1,"An assessment by subsistence farmers of the risks to food security attributable to climate change in Makwanpur, Nepal",2016-04-01,Food Security,"The potential impacts of climate change on the food security of subsistence farmers is a serious concern. This article explores the food security situations of two categories of subsistence farm households, vegetable- and cereal-based farming systems, in the Makwanpur district of Nepal in the context of climate change. Local climate data for the past 30 years were analyzed. Interviews with local farmers and key informants, and focus group discussions were carried out to collect the primary data. Empirical data showed that changes in climate variables for the study period were in line with farmers’ perceptions and that farming communities were negatively impacted. Perceived impacts were erratic rainfall, increased frequency of floods and droughts, soil degradation and insect pests, weeds and diseases. Farmers have modified traditional cropping patterns and calendar, changed crop varieties and increased fertilizer and pesticide applications in order to maintain crop yields. They have also sought off-farm employment. However, agricultural productivity in the area is declining and only one third of all households in the area were food secure. Household food insecurity was at mild to moderate levels, but vegetable-based households were more secure than cereal-based ones. At the household level, locally successful adaptive measures, such as rainwater harvesting, mulching, planting date adjustments, off-farm opportunities, including infrastructure and extension support, could increase production and contribute to reversing the impact of increased risk attributed to climate change.",landing_meta,,https://doi.org/10.1007/s12571-016-0554-1,,False,"elsevier_api: HTTP 404: {""service-error"":{""status"":{""statusCode"":""RESOURCE_NOT_FOUND"",""statusText"":""The resource specified cannot be found.""}}}",ok,2026-01-01T23:52:04Z
84962525220,10.1371/journal.pone.0150575,Structural and Psycho-Social Limits to Climate Change Adaptation in the Great Barrier Reef Region,2016-03-01,Plos One,"Adaptation, as a strategy to respond to climate change, has limits: there are conditions under which adaptation strategies fail to alleviate impacts from climate change. Research has primarily focused on identifying absolute bio-physical limits. This paper contributes empirical insight to an emerging literature on the social limits to adaptation. Such limits arise from the ways in which societies perceive, experience and respond to climate change. Using qualitative data from multi-stakeholder workshops and key-informant interviews with representatives of the fisheries and tourism sectors of the Great Barrier Reef region, we identify psycho-social and structural limits associated with key adaptation strategies, and examine how these are perceived as more or less absolute across levels of organisation. We find that actors experience social limits to adaptation when: i) the effort of pursuing a strategy exceeds the benefits of desired adaptation outcomes; ii) the particular strategy does not address the actual source of vulnerability, and; iii) the benefits derived from adaptation are undermined by external factors. We also find that social limits are not necessarily more absolute at higher levels of organisation: respondents perceived considerable opportunities to address some psycho-social limits at the national-international interface, while they considered some social limits at the local and regional levels to be effectively absolute.",semantic_scholar,https://www.semanticscholar.org/paper/38a87c8675f9d92e4b1d798ab8ce976cbbd25dd8,,,,"elsevier_api: HTTP 404: {""service-error"":{""status"":{""statusCode"":""RESOURCE_NOT_FOUND"",""statusText"":""The resource specified cannot be found.""}}}",ok,2026-01-01T23:52:06Z
85087657712,10.1007/s11069-020-04127-0,"Heat, cold, and floods: exploring farmers’ motivations to adapt to extreme weather events in the Terai region of Nepal",2020-09-01,Natural Hazards,"Smallholder farmers in Nepal are vulnerable to climate change-related extreme weather events. Adaptation in the agriculture sector is needed to mitigate social, economic, and ecological impacts from increasing levels of hazard activity. To examine this issue, a household survey of 350 farmers in the Terai region of Nepal was carried out to assess farmers’ risk perceptions towards three common extreme weather events (floods, cold spells, and heat waves) and to explore their intended responses to cope with future impacts. The intended common adaptation strategies include changes in farm management, seeking off-farm employment, emergency management planning, purchasing crop insurance, and the raising of awareness. Threat appraisal is the strongest predictor of the number of intended adaptation strategies adopted in response to slow-onset hazards (heat waves and cold spells), while coping appraisal is the major predictor of the number of intended adaptation strategies adopted to mitigate flood risk, a rapid onset hazard. Crop insurance and off-farm employment are farmers’ most preferred flood adaptation strategies, while crop insurance is the most preferred adaptation strategy for heat waves and cold spells. Other variables such as the number of past implemented strategies, experience with extreme events, community organisation membership, and access to credit and extension services were also significantly associated with farmers’ choices for adaptation strategies in response to the three extreme events. This information can be used to tailor community-centred communication about potential threats from different extreme weather events and government technical and financial support, which will be crucial for farmers to adapt effectively to climate change-related weather extremes.",landing_meta,,https://doi.org/10.1007/s11069-020-04127-0,,False,"elsevier_api: HTTP 404: {""service-error"":{""status"":{""statusCode"":""RESOURCE_NOT_FOUND"",""statusText"":""The resource specified cannot be found.""}}}",ok,2026-01-01T23:52:07Z
85075800837,10.1016/j.landusepol.2019.104395,"Farm households’ risk perception, attitude and adaptation strategies in dealing with climate change: Promise and perils from rural Pakistan",2020-02-01,Land Use Policy,"Pakistan is highly vulnerable to extreme climatic events, such as floods and droughts. This study determines the farmers’ risk perception, risk attitude, adaptation measures and various aspects of vulnerability to climate change (e.g. floods, droughts, heavy rainfalls, pests and disease) at farm level in rural Pakistan. The risk perception and attitude of farm households are crucial factors that influence farm productivity, investment and management decisions at this level. A well-designed questionnaire was used to interview 720 farm households from six districts of the Khyber Pakhtunkhwa province. A binary logit model was used to determine the main factors that affect the choice of adaptation strategies of the farm household. The findings revealed that crop diversification, changing crop varieties, altering the crop calendar, varying the fertilizer used, mulching and farm insurance were the main adaptation strategies followed by farm households. The results of the binary logit model revealed that age, education, farm size, household size, credit accessibility, annual income and the perception on the increase in temperature and decrease in rainfall had significant influence on the selection of the adaption strategies. The findings of this study can provide guidance, policy recommendations and reference for future researchers.",elsevier_api,https://api.elsevier.com/content/article/doi/10.1016%2Fj.landusepol.2019.104395,,,,,ok,2026-01-01T23:52:09Z
85078037997,10.1016/j.crm.2019.100204,Understanding adaptive capacity of smallholder African indigenous vegetable farmers to climate change in Kenya,2020-01-01,Climate Risk Management,"Understanding the adaptive capacity (AC) of farmers is crucial to planning effective adaptation. Action to promote farmers’ AC is required because climate change (CC) is resulting in unpredictable alterations in weather patterns. Based on the sustainable livelihoods framework (SLF), this study explored how access to natural, physical, financial, social and human capitals enhances the AC. Quantitative data from 269 African indigenous vegetable (AIV) farmers in three selected agro-climatic zones in Kenya were analysed. Four indicators in each capital were selected based on previous studies and judgments collected from an expert online ranking survey (n = 35). The Kruskal-Wallis H test and an independent sample t-test were used to test the independence of AC scores and access to the different resources. The findings showed that the majority of farmers (53%) had a moderate AC, while fewer (32%) and (15%) had low or high AC levels respectively. Disparities in adaptive capacity scores were recorded between respondents in terms of their age, marital status and location. Farmers had high access to social capital but low access to financial, natural and human capitals. Female farmers showed lower capacities in the areas of financial, human and natural resources, while their male counterparts had low access to some human and social capitals. Resilient interventions that target individuals with low adaptive capacities are required.",elsevier_api,https://api.elsevier.com/content/article/doi/10.1016%2Fj.crm.2019.100204,,,,,ok,2026-01-01T23:52:10Z
85069312762,10.1371/journal.pone.0219393,"Exploring households’ resilience to climate change-induced shocks using Climate Resilience Index in Dinki watershed, central highlands of Ethiopia",2019-07-01,Plos One,"This study assessed households’ resilience to climate change-induced shocks in Dinki watershed, northcentral highlands of Ethiopia. The data were collected through a cross-sectional survey conducted on 288 households, three focus group discussions, and 15 key informant interviews. The Climate Resilience Index (CRI) based on the three resilience capacities (absorptive, adaptive and transformative) frame was used to measure households’ resilience to climate change-induced shocks on an agro-ecological unit of analysis. A principal component analysis (PCA) and multiple regression analysis were used to identify determinant factors and indicators to households’ resilience, respectively. Findings indicate that the indexed scores of major components clearly differentiated the study communities in terms of their agro-ecological zones. Specifically, the absorptive capacity (0.495) was the leading contributing factor to resilience followed by adaptive (0.449) and transformative (0.387) capacities. Likewise, the Midland was relatively more resilient with a mean index value of 0.461. Both the PCA and multiple regression analysis indicated that access to and use of livelihood resources, such as farmlands and livestock holdings, diversity of income sources, infrastructure and social capital were determinants of households’ resilience. In general, it might be due to their exposure to recurrent shocks coupled with limited adaptive capacities including underdeveloped public services, poor livelihood diversification practices, among others, the study communities showed minimal resilience capacity with a mean score of 0.44. Thus, in addition to short-term buffering strategies, intervention priority focusing on both adaptive and transformative capacities, particularly focusing on most vulnerable localities and constrained livelihood strategies, would contribute to ensuring long-term resilience in the study communities.",semantic_scholar,https://www.semanticscholar.org/paper/911534ef40a64541a303fbc64279cd413dd4572c,,,,"elsevier_api: HTTP 404: {""service-error"":{""status"":{""statusCode"":""RESOURCE_NOT_FOUND"",""statusText"":""The resource specified cannot be found.""}}}",ok,2026-01-01T23:52:11Z
85042637119,10.1186/s13717-018-0118-8,"Farmers’ perception of climate change and adaptation strategies in the Dabus watershed, North-West Ethiopia",2018-12-01,Ecological Processes,"IntroductionThis study is aimed at analyzing farmers’ perception and adaptation to climate change in the Dabus watershed. It is based on analysis of data collected from 734 randomly selected farm householdheads substantiated with Focus Group Discussions and field observations.MethodsThe study employed descriptive methods to assess farmers’ perception of climate change, localindicators of climate change and types of adaptation measures exercised to cop up with the risk of the change in climate. The study also employed the Heckman sample selection model to analyze the two-stepprocess of adaptation to climate change which initially requires farmers’ perception that climate is changingprior to responding to the changes through adaptation measures.ResultsBased on the model result educational attainment, the age of the head of the household, thenumber of crop failures in the past, changes in temperature and precipitation significantly influencedfarmers’ perception of climate change in wet lowland parts of the study area. In dry lowland condition,farming experience, climate information, duration of food shortage, and the number of crop failuresexperienced determined farmers’ perception of climate change. Farmers’ adaptation decision in both the wet and dry lowland conditions is influenced by household size, the gender of household head, cultivatedland size, education, farm experience, non-farm income, income from livestock, climate information, extension advice, farm-home distance and number of parcels. However, the direction of influence and significance level of most of the explanatory variables vary between the two parts of the study area.ConclusionsIn line with the results, any intervention that promotes the use of adaptation measures toclimate change may account for location-specific factors that determine farmers' perception of climate change and adaptive responses thereof.",semantic_scholar,https://www.semanticscholar.org/paper/96d72d4b489a22e31032171ac697197996e6b05e,,,,"elsevier_api: HTTP 404: {""service-error"":{""status"":{""statusCode"":""RESOURCE_NOT_FOUND"",""statusText"":""The resource specified cannot be found.""}}}",ok,2026-01-01T23:52:12Z
85052247211,10.1016/j.landusepol.2018.08.018,"Farmers’ risk perception, vulnerability, and adaptation to climate change in rural Pakistan",2018-12-01,Land Use Policy,"Pakistan is the world’s most susceptible country to extreme climatic events, such as floods and droughts. This study aims to investigate the risks related to climate variability and the adaptation measures utilized by farm households in their farms to cope with the adverse shocks of climatic disasters. A dataset of 600 respondents was collected using structured questionnaire from four districts namely Charsadda, Mardan, Nowshera and Peshawar of Khyber Pakhtunkhwa province of Pakistan. Findings of the research showed that soil fertility loss, water scarcity, changes in crop yields and crop diseases were the main determinants of climate variability. Further study participants were also utilizing several adaptation techniques such as change in crop type and variety, change fertilizer, seed quality, pesticide, plant shade trees; water storage and farm diversification. Results of our study further showed that in the study area, study participants were facing various constraints in adoption of certain adaptation measures to deal with climate variability, such as shortage of labor, insecure land tenure system, lack of market access, poverty, land of governmental support, lack of access to assets, lack of water sources, lack of credit sources and lack of knowledge and information were the main constraints faced by the farm households. Findings of this research provide useful insights to the responsible authorities for policy implementation. Our study further suggests that the government should provide proper support to the farmers in the shape of access to farm inputs, access to information and extension services on climate variability and adaptation.",elsevier_api,https://api.elsevier.com/content/article/doi/10.1016%2Fj.landusepol.2018.08.018,,,,,ok,2026-01-01T23:52:14Z
85039727882,10.1080/17565529.2017.1411240,Understanding smallholder farmers' capacity to respond to climate change in a coastal community in Central Vietnam,2018-11-17,Climate and Development,"Climate change as expressed by erratic rainfall, increased flooding, extended droughts, frequency tropical cyclones or saline water intrusion, poses severe threats to smallholder farmers in Vietnam. Adaptation of the agricultural sector is vital to increase the resilience of smallholder farmers’ livelihoods in times of climate change. To complement efforts already implemented by farmers to reduce social vulnerability it is important to understand how farmers perceive their current and future capacity to adapt to climate change. This paper aims to explore smallholder farmers’ capacity to respond to climate change in current and future agricultural production. We carried out open, in-depth interviews (n = 13), focus group discussions, and structured interviews (n = 114) in the Thua Thien Hue province. Our findings show that farmers nowadays experience more extreme climate variability. Farmers report increasing stresses due to temperature increase and droughts. The autonomous adaptation strategies adopted by farmers include; adjusting the season calendar, using tolerant varieties and breeds, applying integrated crop production models, and income diversification. The motives for adopting particular planned adaptation options differ between farmers in crop production and livestock production. Four factors were found to be significant (p < .05) in influencing the spread of adaptation measures (AMs) farmers adopted: farm income, the number of available information sources, number of workers on the farm, and farmable land available during the summer season. Farmers report several barriers to implement adaptation strategies including; market price fluctuations, lack of skilled labour, lack of climate change information, and lack of capacity to learn and apply techniques in their daily practice. While both crop and livestock farmers participated in one or several training courses on climate change in the past years, livestock farmers were still uncertain about their future capacity and possible AMs.",semantic_scholar,https://www.semanticscholar.org/paper/5994bf8bca26a87871944dcb93f1a47794f8cf47,,,,"elsevier_api: HTTP 404: {""service-error"":{""status"":{""statusCode"":""RESOURCE_NOT_FOUND"",""statusText"":""The resource specified cannot be found.""}}}",ok,2026-01-01T23:52:15Z
