doi,doi_clean,record_key,citation_raw,title_benchmark,title_fetched,type,identified_via,abstract,landing_url,fetch_status,source,status_code,error,fetched_utc,last_attempt_utc,fail_count,year,year_source,final_decision,hard_filter_status,1_population_decision,1_population_quote,1_population_verified,2_concept_decision,2_concept_quote,2_concept_verified,3_context_decision,3_context_quote,3_context_verified,4_methodology_decision,4_methodology_quote,4_methodology_verified,5_geography_decision,5_geography_quote,5_geography_verified,title,match_title,match_doi,simple_status,restored_type,source_type,title_scopus,publicationName,year_scopus,doi_scopus,author_names,in_scopus_retrieval,eligible_baseline,eligible_secondary,fetched_authors,fetched_journal,fetched_year,citation,secondary_decision_raw
10.1016/j.ijdrr.2018.01.032,10.1016/j.ijdrr.2018.01.032,10.1016/j.ijdrr.2018.01.032,"Pak-Uthai, S., & Faysse, N. (2018). The risk of second-best adaptive measures: Farmers facing drought in Thailand. International journal of disaster risk reduction, 28, 711–719. doi:10.1016/j.ijdrr.2018.01.032","The risk of second-best adaptive measures: Farmers facing drought in Thailand. International journal of disaster risk reduction, 28, 711–719. doi:10.1016/j.ijdrr.2018.01.032",,Peer,Stakeholder - Pankaj Koirala,"The measures taken by farmers to adapt to climate events are generally characterized in terms of the required resources and their effects, and based on these effects, measures are typified as leading to short-term or long-term adaptation, or to maladaptation. This paper examines the short-term effects of adaptive measures taken by farmers in Suphanburi Province, Thailand, to deal with the major hydrological drought in 2015 and 2016. The farmers implemented diverse measures aimed at increasing access to water, reducing their need for irrigation water or obtaining a non-agricultural income. Less than one third of interviewed farmers were able to implement first-best adaptive measures, which involved little risk as farmers had secure access to alternative sources of water and to markets. The other farmers were unable to implement these measures. Half of the farmers opted for second-best measures, which involved risky attempts to increase access to water or to shift to other productions. Farmers also took other second-best adaptive measures that involved much less risk, such as non-agricultural activities, but that only provided a limited income. Therefore, based on their short-term effects, most adaptive actions could not be typified in terms of increasing or decreasing farmers’ vulnerability to drought, but far better in terms of the risks they involved.",,ok,elsevier_api,,,,,,2018,parsed_from_citation,include,pass,yes,farmers to adapt to climate events,True,yes,adaptive measures taken by farmers,True,yes,hydrological drought in 2015 and 2016,True,yes,interviewed farmers were able to implement first-best adaptive measures,True,yes,"Suphanburi Province, Thailand",True,"The risk of second-best adaptive measures: Farmers facing drought in Thailand. International journal of disaster risk reduction, 28, 711–719. doi:10.1016/j.ijdrr.2018.01.032",theriskofsecondbestadaptivemeasuresfarmersfacingdroughtinthailandinternationaljournalofdisasterriskreduction28711719doi101016jijdrr201801032,101016jijdrr201801032,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Pak-Uthai, S., Faysse, N.",International Journal of Disaster Risk Reduction,2018,"Pak-Uthai, S., Faysse, N. (2018) 'The risk of second-best adaptive measures: Farmers facing drought in Thailand. International journal of disaster risk reduction, 28, 711–719. doi:10.1016/j.ijdrr.2018.01.032'. International Journal of Disaster Risk Reduction. https://doi.org/10.1016/j.ijdrr.2018.01.032",include
10.1007/s10668-023-04301-x,10.1007/s10668-023-04301-x,10.1007/s10668-023-04301-x,"Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x","Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x",,Peer,Stakeholder - Pankaj Koirala,"Climate change impacts, including rising temperatures, erratic changes in the frequency and quantity of rainfall, and the prevalence of extreme weather phenomena, pose threats to rice cultivation. The primary objective of this study is to conduct an economic assessment of the effect of adaptation strategies on the agricultural performance of rice farmers. A total of 260 rice farmers from Nong Cong district were selected as the sample for the study. Collected data were analyzed using propensity scores matching (PSM) and the analysis of variance (ANOVA) technique, using Tukey's method. PSM was utilized to compare farmers who adapted and those who did not, while the ANOVA test was applied to examine disparities in the impacts, resulting from the use of various adaptive measures. The study's findings demonstrated that changing rice varieties led to the most substantial increment in profitability (a 73% surge in profits) while adjusting the seasonal timetable was the least costly measure. Among the plausible combinations of adaptive measures, farmers achieved the highest additional yield by utilizing increased fertilizers and pesticides (yielding a 26% increase). However, the highest increase in profitability was observed by adjusting the seasonal calendar and modifying rice varieties (yielding a 124.2% surge in profits). Significant factors influencing farmers' choice of adaptive measures include the extent of formal education, farming experience, agricultural income, participation in training programs, membership in agricultural associations, and access to 7–10-day weather forecasts. The study recommends that farmers cultivate high-yielding rice varieties resistant to extreme weather patterns. Furthermore, extension organizations are advised to intensify their efforts in conducting awareness campaigns focused on climate change, disseminating weather forecast information at the district level, and providing agricultural extension services coupled with training in advanced agricultural techniques.",https://doi.org/10.1007/s10668-023-04301-x,ok,landing_meta,,,,,,2023,parsed_from_citation,include,pass,yes,A total of 260 rice farmers from Nong Cong district were selected as the sample for the study.,True,yes,The primary objective of this study is to conduct an economic assessment of the effect of adaptation strategies on the agricultural performance of rice farmers.,True,yes,"Climate change impacts, including rising temperatures, erratic changes in the frequency and quantity of rainfall, and the prevalence of extreme weather phenomena, pose threats to rice cultivation.",True,yes,Collected data were analyzed using propensity scores matching (PSM) and the analysis of variance (ANOVA) technique,True,yes,A total of 260 rice farmers from Nong Cong district were selected as the sample for the study.,True,"Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x",namlpvansongnquilloyajraolarfcamachojvcamacholdeluriagaclm2023decemberassessmentofimpactsofadaptationmeasuresonricefarmeconomicperformanceinresponsetoclimatechangecasestudyinvietnamenvironmentdevelopmentandsustainability263247932507doi101007s1066802304301x,101007s1066802304301x,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Nam, L., Van Song, N., Quilloy, A. et al.","Environment, Development and Sustainability",2023,"Nam, L., Van Song, N., Quilloy, A. et al. (2023) 'Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x'. Environment, Development and Sustainability. https://doi.org/10.1007/s10668-023-04301-x",include
10.1016/j.landusepol.2017.10.023,10.1016/j.landusepol.2017.10.023,10.1016/j.landusepol.2017.10.023,"Trinh, T., Ranola, R., Camacho, L., & Simelton, E. (2018). Determinants of farmers' adaptation to climate change in agricultural production in the central region of Vietnam. Land use policy, 70, 224–231.","Determinants of farmers' adaptation to climate change in agricultural production in the central region of Vietnam. Land use policy, 70, 224–231.",,Peer,Stakeholder - Pankaj Koirala,"This paper discusses the likely changes in farm cultural practices that farmers would adopt to minimize agricultural production losses as a response to the increasing occurrence of extreme weather conditions due to climate change in the Central Region of Viet Nam. Using binary logit model and multivariate probit model, this paper examined different factors influencing farmers decision on adaptation to climate change in their agricultural production. Training attendance, farm size, damage level, educational level, farming experience, access to credit, and gender were the factors that influenced significantly the probability that farmers would adapt to climate change. Of these factors, attendance in climate change training and farm size were the most important factors affecting the farmers decision on adaptation to climate change, while labor availability and membership in local organizations were not. Three policy recommendations were proposed to enhance small-scale farmers adaptive capacity to climate change in the region. These include: i). broadening of training courses on climate change; ii). institute policies that would promote consolidation of farmlands; and, iii). integrate concepts of climate change and climate change adaptation into the operation of the local organizations.",,ok,elsevier_api,,,,,,2018,parsed_from_citation,include,pass,yes,small-scale farmers,True,yes,adaptation to climate change,True,yes,extreme weather conditions due to climate change,True,yes,binary logit model and multivariate probit model,True,yes,Central Region of Viet Nam,True,"Determinants of farmers' adaptation to climate change in agricultural production in the central region of Vietnam. Land use policy, 70, 224–231.",determinantsoffarmersadaptationtoclimatechangeinagriculturalproductioninthecentralregionofvietnamlandusepolicy70224231,101016jlandusepol201710023,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Trinh, T., Rañola, R., Camacho, L. et al.",Land Use Policy,2018,"Trinh, T., Rañola, R., Camacho, L. et al. (2018) 'Determinants of farmers' adaptation to climate change in agricultural production in the central region of Vietnam. Land use policy, 70, 224–231'. Land Use Policy. https://doi.org/10.1016/j.landusepol.2017.10.023",include
10.1016/j.landusepol.2021.105295,10.1016/j.landusepol.2021.105295,10.1016/j.landusepol.2021.105295,"Ahmed, Z., Guha, G., Shew, A., & Alam, G. (2021). Climate change risk perceptions and agricultural adaptation strategies in vulnerable riverine char islands of Bangladesh. Land use policy, 103, 105295.","Climate change risk perceptions and agricultural adaptation strategies in vulnerable riverine char islands of Bangladesh. Land use policy, 103, 105295.",,Peer,Stakeholder - Pankaj Koirala,"Farmers in the riverine char islands of Bangladesh are frequently affected by climate change due to their proximity to the river and heavy reliance on agriculture for their livelihoods. The present study evaluates char dwellers’ risk perceptions and agricultural adaptations to climate change. Survey data were collected from 98 households, and focus group discussions were conducted using a semi-structured questionnaire from Rydas Bari char under the Gaibandha District of Bangladesh. A standardized risk perception index was created using a four-point Likert scale against sixteen climatic events. In addition, a binary logit model was used to estimate the influence of socioeconomic characteristics of sample households on the decision to choose climate change adaptation strategies. Findings suggest that droughts, river erosion, and floods are the major climatic risks perceived by char dwellers. Additionally, results from a climate vulnerability index portray similar findings that char respondents are more exposed to diverse climatic hazards. The study further investigates local adaptation mechanisms in agriculture with regards to major climatic events. In response to the existing climate change risks, the char inhabitants employ several adaptation strategies in agriculture such as implementing new or alternative farming practices, changing planting times, and cultivating short-duration varieties. The llogit analysis suggests that household age, family size, annual income, farm size, farm ownership and farming experience have a significant influence on farmers' adaptation choices. Household access to education, early warning by extension agents, information on improved agricultural technologies, access to off-farm sources of income and incorporating char people during policy design can effectively enhance farmers’ resilience and help reduce vulnerability.",,ok,elsevier_api,,,,,,2021,parsed_from_citation,include,pass,yes,Farmers in the riverine char islands of Bangladesh,True,yes,Agricultural adaptations to climate change,True,yes,"droughts, river erosion, and floods are the major climatic risks",True,yes,"Survey data were collected from 98 households, and focus group discussions",True,yes,Rydas Bari char under the Gaibandha District of Bangladesh,True,"Climate change risk perceptions and agricultural adaptation strategies in vulnerable riverine char islands of Bangladesh. Land use policy, 103, 105295.",climatechangeriskperceptionsandagriculturaladaptationstrategiesinvulnerableriverinecharislandsofbangladeshlandusepolicy103105295,101016jlandusepol2021105295,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Ahmed, Z., Guha, G., Shew, A. et al.",Land Use Policy,2021,"Ahmed, Z., Guha, G., Shew, A. et al. (2021) 'Climate change risk perceptions and agricultural adaptation strategies in vulnerable riverine char islands of Bangladesh. Land use policy, 103, 105295'. Land Use Policy. https://doi.org/10.1016/j.landusepol.2021.105295",include
10.5539/sar.v2n3p107,10.5539/sar.v2n3p107,10.5539/sar.v2n3p107,"Bello, M., Salau, E., Galadima, O., & Ali, I. (2013). Knowledge, perception and adaptation strategies to climate change among farmers of Central State Nigeria. Sustainable agriculture research, 2, 107.","Knowledge, perception and adaptation strategies to climate change among farmers of Central State Nigeria. Sustainable agriculture research, 2, 107.",,Peer,Stakeholder - Pankaj Koirala,"This study was designed to assess the knowledge, perception and adaptation strategies to climate change among farmers of central Nigeria. Multi-Stage sampling technique was used to source respondents for the study. Three out of the five local government areas (LGAs) were randomly selected in the study area. Five village communities were randomly selected from each of the five LGAs to give fifteen villages, while 10 farmers were also randomly selected from each village to give 150 respondents. Data collection was through an interview schedule. Simple descriptive statistics such as frequency counts, percentage and mean scores were used to achieve all the objectives of the study. Most of the respondents relied on radio as their major source of information on climate change. The perceived indicators of climate change by the respondents were excessive high temperatures, low and irregular rainfall pattern as well as low crop yields. Adaptation strategies used in the area included agroforestry practices, crop diversification, early maturing and disease/drought resistant varieties. The Major constraints to adaptation by the respondents were inadequate finance, poor infrastructures, unfavourable government/trade policies and poor technology. Extension agents in the study area should incorporate information on climate change in their extension messages.",,ok,semantic_scholar,,,,,,2013,parsed_from_citation,include,pass,yes,Farmers of central Nigeria,True,yes,adaptation strategies to climate change among farmers,True,yes,"excessive high temperatures, low and irregular rainfall pattern as well as low crop yields",True,yes,Multi-Stage sampling technique was used to source respondents for the study.,True,yes,Farmers of central Nigeria,True,"Knowledge, perception and adaptation strategies to climate change among farmers of Central State Nigeria. Sustainable agriculture research, 2, 107.",knowledgeperceptionandadaptationstrategiestoclimatechangeamongfarmersofcentralstatenigeriasustainableagricultureresearch2107,105539sarv2n3p107,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Bello, M., S., S., Galadima, O. et al.",Sustainable Agriculture Research,2013,"Bello, M., S., S., Galadima, O. et al. (2013) 'Knowledge, perception and adaptation strategies to climate change among farmers of Central State Nigeria. Sustainable agriculture research, 2, 107'. Sustainable Agriculture Research. https://doi.org/10.5539/sar.v2n3p107",include
10.1108/ijccsm-01-2019-0004,10.1108/ijccsm-01-2019-0004,10.1108/ijccsm-01-2019-0004,"Jiao, X., Zheng, Y., & Liu, Z. (2020). Three-stage quantitative approach of understanding household adaptation decisions in rural Cambodia. International journal of climate change strategies and management, 12, 39–58. doi:10.1108/ijccsm-01-2019-0004","Three-stage quantitative approach of understanding household adaptation decisions in rural Cambodia. International journal of climate change strategies and management, 12, 39–58. doi:10.1108/ijccsm-01-2019-0004",,Peer,Stakeholder - Pankaj Koirala,"Purpose
A better understanding of the processes that shape households’ adaptation decisions is essential for developing pertinent policies locally, thereby enabling better adaptation across scales and multiple stakeholders. This paper aims to examine the determinants of household decisions to adapt, it is also possible to target factors that facilitate or constrain adaptation. This helps to identify key components of current adaptive capacity, which leads to important insights into households’ competence to adapt in the future.


Design/methodology/approach
This paper takes a full-pledged approach examining factors and processes that shape households’ climate adaptation decision-making in rural Cambodia at three levels: adaptation status, adaptation intensity and choices of adaptation strategy. The three-stage analyses are materialized by applying the double hurdle model and multivariate probit model, which provides a potential way to systematically assess household adaptation decision-making in rural settings.


Findings
Results show a high level of involvement in adaptation among local households who are facing multiple stressors including climatic risks. The findings suggest that perceived climate change influence households’ decisions in both adaptation status and intensity. Access to financial credit, farmland size, water availability and physical asset holdings are identified as key factors promoting the adoption of more adaptation measures. To facilitate adaptation, collective effort and support at community level is important in providing knowledge based climate information dissemination and early warning systems. Public sector support and development aid programs should focus on positive triggers for targeted community and household adaptation.


Originality/value
The study, to the authors’ best knowledge, is one of the first studies to investigate the determinants of local adaptation decision-making systematically in Cambodia. It also provides a comprehensive approach to improve understanding of adaptation decision-making processes by exploring how various capital assets are associated with different stages of adaptation decisions. The findings contribute to policy implications enlightening adaptation planning at multi-scales with knowledge of key factors, which enhance local adaptive capacity to reduce climate change vulnerability.",,ok,semantic_scholar,,,,,,2020,parsed_from_citation,include,pass,yes,households’ adaptation decisions,True,yes,determinants of household decisions to adapt,True,yes,households’ decisions in both adaptation status and intensity.,True,yes,double hurdle model and multivariate probit model,True,yes,rural Cambodia,True,"Three-stage quantitative approach of understanding household adaptation decisions in rural Cambodia. International journal of climate change strategies and management, 12, 39–58. doi:10.1108/ijccsm-01-2019-0004",threestagequantitativeapproachofunderstandinghouseholdadaptationdecisionsinruralcambodiainternationaljournalofclimatechangestrategiesandmanagement123958doi101108ijccsm0120190004,101108ijccsm0120190004,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Jiao, X., Zheng, Y., Liu, Z.",International Journal of Climate Change Strategies and Management,2020,"Jiao, X., Zheng, Y., Liu, Z. (2020) 'Three-stage quantitative approach of understanding household adaptation decisions in rural Cambodia. International journal of climate change strategies and management, 12, 39–58. doi:10.1108/ijccsm-01-2019-0004'. International Journal of Climate Change Strategies and Management. https://doi.org/10.1108/ijccsm-01-2019-0004",include
10.9734/ajaees/2024/v42i112612,10.9734/ajaees/2024/v42i112612,10.9734/ajaees/2024/v42i112612,"Djezou, W. B., & N’Goran, F. (2024, November). Climate Change Adaptation Mechanisms for Smallholder Farmers in Côte d’Ivoire. Asian Journal of Agricultural Extension, Economics &amp; Sociology, 42, 263–283. doi:10.9734/ajaees/2024/v42i112612","Djezou, W. B., & N’Goran, F. (2024, November). Climate Change Adaptation Mechanisms for Smallholder Farmers in Côte d’Ivoire. Asian Journal of Agricultural Extension, Economics &amp; Sociology, 42, 263–283. doi:10.9734/ajaees/2024/v42i112612",,Peer,Stakeholder - Pankaj Koirala,"This paper analyzes the adaptation mechanisms employed by smallholder farmers in Côte d'Ivoire in response to climate change. Using data from the World Bank’s CGAP survey (2016) and applying the Heckman’s probit model with sample selection, the study accounts for farmers' perception of climate change and its impact on adaptation strategies. The findings show that perception is a key factor in adopting climate-smart strategies, with access to agricultural information, cooperative membership, insurance, gender, education, and income levels being decisive variables. The study recommends policies that enhance advisory support, promote cooperatives, and ensure gender equality in accessing productive resources. These measures are essential for strengthening the adaptive capacity of smallholder farmers in Côte d'Ivoire.",,ok,semantic_scholar,,,,,,2024,parsed_from_citation,include,pass,yes,smallholder farmers,True,yes,adaptation mechanisms,True,yes,climate change,True,yes,World Bank’s CGAP survey (2016),True,yes,Côte d'Ivoire,True,"Djezou, W. B., & N’Goran, F. (2024, November). Climate Change Adaptation Mechanisms for Smallholder Farmers in Côte d’Ivoire. Asian Journal of Agricultural Extension, Economics & Sociology, 42, 263–283. doi:10.9734/ajaees/2024/v42i112612",djezouwbngoranf2024novemberclimatechangeadaptationmechanismsforsmallholderfarmersinctedivoireasianjournalofagriculturalextensioneconomicssociology42263283doi109734ajaees2024v42i112612,109734ajaees2024v42i112612,Passed,Unknown,Peer Reviewed,,,,,,False,True,True,"Djezou, W., N’Goran, F.","Asian Journal of Agricultural Extension, Economics &amp; Sociology",2024,"Djezou, W., N’Goran, F. (2024) 'Djezou, W. B., & N’Goran, F. (2024, November). Climate Change Adaptation Mechanisms for Smallholder Farmers in Côte d’Ivoire. Asian Journal of Agricultural Extension, Economics & Sociology, 42, 263–283. doi:10.9734/ajaees/2024/v42i112612'. Asian Journal of Agricultural Extension, Economics & Sociology. https://doi.org/10.9734/ajaees/2024/v42i112612",include
10.1016/j.ecolecon.2017.08.006,10.1016/j.ecolecon.2017.08.006,10.1016/j.ecolecon.2017.08.006,"Khanal, U., Wilson, C., Hoang, V.-N., & Lee, B. (2018). Farmers' adaptation to climate change, its determinants and impacts on rice yield in Nepal. Ecological economics, 144, 139–147.","Farmers' adaptation to climate change, its determinants and impacts on rice yield in Nepal. Ecological economics, 144, 139–147.",,Peer,Stakeholder - Pankaj Koirala,"This paper explores the factors that influence farmers' decision-making in adopting climate change adaptation strategies and how these adaptations impact on farm yields. We employ a simultaneous equations model to investigate the differential effects of adaptation on adapters and non-adapters. An endogenous switching mechanism is employed to account for selectivity bias. Based on a survey of 422 rice farmers in Nepal, our results show that farmers' education, access to credit and extension services, experience with climate change impacts such as drought and flood, information on climate change issues, belief in climate change and the need to adapt all variously determine their decision-making. We find that the adaptation strategies employed by farmers significantly increase rice yields. Furthermore, results indicate that both adapters and non-adapters would benefit from the adaptation of the identified strategies. This study, therefore, provides supportive evidence for policy makers to take into consideration farmers' existing knowledge and skills in adapting to climate change. The findings show that it is imperative to involve farmers in climate change adaptation planning processes if the full benefits of such policy action are to be realized.",,ok,elsevier_api,,,,,,2018,parsed_from_citation,include,pass,yes,survey of 422 rice farmers in Nepal,True,yes,farmers' decision-making in adopting climate change adaptation strategies,True,yes,experience with climate change impacts such as drought and flood,True,yes,Based on a survey of 422 rice farmers in Nepal,True,yes,survey of 422 rice farmers in Nepal,True,"Farmers' adaptation to climate change, its determinants and impacts on rice yield in Nepal. Ecological economics, 144, 139–147.",farmersadaptationtoclimatechangeitsdeterminantsandimpactsonriceyieldinnepalecologicaleconomics144139147,101016jecolecon201708006,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Khanal, U., Wilson, C., Hoang, V. et al.",Ecological Economics,2018,"Khanal, U., Wilson, C., Hoang, V. et al. (2018) 'Farmers' adaptation to climate change, its determinants and impacts on rice yield in Nepal. Ecological economics, 144, 139–147'. Ecological Economics. https://doi.org/10.1016/j.ecolecon.2017.08.006",include
10.1016/j.envsci.2014.04.002,10.1016/j.envsci.2014.04.002,10.1016/j.envsci.2014.04.002,"Dang, H., Li, E., Nuberg, I., & Bruwer, J. (2014). Understanding farmers' adaptation intention to climate change: A structural equation modelling study in the Mekong Delta, Vietnam. Environmental science and policy, 41, 11–22.","Understanding farmers' adaptation intention to climate change: A structural equation modelling study in the Mekong Delta, Vietnam. Environmental science and policy, 41, 11–22.",,Peer,Stakeholder - Pankaj Koirala,"Socio-economic factors and resource availability are commonly shown to influence the adaptation intention and behaviour of farmers in response to climate change. This study additionally incorporates psychological factors building on protection motivation theory to investigate the adaptation intention of farmers. Data was obtained from structured interviews with 598 rice farmers in the Mekong Delta, Vietnam. Structural equation modelling was used for investigating the relationships between constructs. The findings indicate that farmers are more likely to have an adaptation intention when they perceive higher risks of climate change and greater effectiveness of adaptive measures. In contrast, they are less likely to intend to adapt when they are subject to wishful thinking, denials of climate change risk, and fatalism. Adaptation intention increases when farmers perceive greater influences of the increases in electricity, water, and fuel prices; or when they are under pressure from other people to conduct adaptive measures. The study demonstrates that protection motivation theory is a useful framework to understand the adaptation intention and behaviour of farmers in response to climate change. However, further research is necessary to improve and generalise the measurement model.",,ok,elsevier_api,,,,,,2014,parsed_from_citation,include,pass,yes,"Data was obtained from structured interviews with 598 rice farmers in the Mekong Delta, Vietnam",True,yes,investigate the adaptation intention of farmers,True,yes,in response to climate change,True,yes,Structural equation modelling was used for investigating the relationships between constructs.,True,yes,"Mekong Delta, Vietnam",True,"Understanding farmers' adaptation intention to climate change: A structural equation modelling study in the Mekong Delta, Vietnam. Environmental science and policy, 41, 11–22.",understandingfarmersadaptationintentiontoclimatechangeastructuralequationmodellingstudyinthemekongdeltavietnamenvironmentalscienceandpolicy411122,101016jenvsci201404002,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Dang, H., Li, E., Nuberg, I. et al.",Environmental Science &amp; Policy,2014,"Dang, H., Li, E., Nuberg, I. et al. (2014) 'Understanding farmers' adaptation intention to climate change: A structural equation modelling study in the Mekong Delta, Vietnam. Environmental science and policy, 41, 11–22'. Environmental Science & Policy. https://doi.org/10.1016/j.envsci.2014.04.002",include
10.1016/j.landusepol.2020.104553,10.1016/j.landusepol.2020.104553,10.1016/j.landusepol.2020.104553,"Ghanian, M., Ghoochani, O., Dehghanpour, M., Taqipour, M., Taheri, F., & Cotton, M. (2020, May). Understanding farmers' climate adaptation intention in Iran: A protection-motivation extended model. Land use policy, 94, 104553. doi:10.1016/j.landusepol.2020.104553","Ghanian, M., Ghoochani, O., Dehghanpour, M., Taqipour, M., Taheri, F., & Cotton, M. (2020, May). Understanding farmers' climate adaptation intention in Iran: A protection-motivation extended model. Land use policy, 94, 104553. doi:10.1016/j.landusepol.2020.104553",,Peer,Stakeholder - Pankaj Koirala,"Adaptation to climate change is a matter of urgent social scientific analysis. Within the agricultural sector of many developing nations, farmers must make long-term decisions to adapt to climate change impacts in order to provide food security and sustainable livelihoods. However, deeper understanding of farmers’ decision-making, as a key stakeholder group, is of vital importance in forming adaptive land use policy ‘from the bottom-up’. This study investigates the psychosocial factors that influence farmers’ adaptation intention in the critical case of Marvdasht County in Iran – a case that exemplifies agricultural stakeholder decision-making in arid and drought-prone regions. We present a conceptual combination-model grounded in Protection Motivation Theory (PMT), employing a correlational survey among 256 farmer-stakeholders. First, we discuss the relative value of the combined model to understanding adaptation intentions. Second, we find that the factors that represent the externalities of farmers' behaviour need to be more thoroughly integrated in to adaptation planning. Third, we find that farmers’ adaptation intention is directly affected by maladaptation, and indirectly by economic disincentives, barriers to belief in anthropogenic climate change and broader risk perceptions.",,ok,elsevier_api,,,,,,2020,parsed_from_citation,include,pass,yes,farmers’ decision-making,True,yes,Adaptation to climate change is a matter of urgent social scientific analysis.,True,yes,Marvdasht County in Iran – a case that exemplifies agricultural stakeholder decision-making in arid and drought-prone regions,True,yes,employing a correlational survey among 256 farmer-stakeholders.,True,yes,Marvdasht County in Iran,True,"Ghanian, M., Ghoochani, O., Dehghanpour, M., Taqipour, M., Taheri, F., & Cotton, M. (2020, May). Understanding farmers' climate adaptation intention in Iran: A protection-motivation extended model. Land use policy, 94, 104553. doi:10.1016/j.landusepol.2020.104553",ghanianmghoochaniodehghanpourmtaqipourmtaherifcottonm2020mayunderstandingfarmersclimateadaptationintentioniniranaprotectionmotivationextendedmodellandusepolicy94104553doi101016jlandusepol2020104553,101016jlandusepol2020104553,Passed,Peer,Peer Reviewed,,,,,,False,True,True,"Ghanian, M., M. Ghoochani, O., Dehghanpour, M. et al.",Land Use Policy,2020,"Ghanian, M., M. Ghoochani, O., Dehghanpour, M. et al. (2020) 'Ghanian, M., Ghoochani, O., Dehghanpour, M., Taqipour, M., Taheri, F., & Cotton, M. (2020, May). Understanding farmers' climate adaptation intention in Iran: A protection-motivation extended model. Land use policy, 94, 104553. doi:10.1016/j.landusepol.2020.104553'. Land Use Policy. https://doi.org/10.1016/j.landusepol.2020.104553",include
