ID,Item,Caroline Staub,Jennifer Cisse,CJ Reconciled,LLM_r2,LLM_r2a
125900264,A Critical Examination of Rural Out-Migration Studies in Ethiopia: Considering Impacts on Agriculture in the Sending Communities,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125901959,"A Fuzzy AHP Approach to Assess Flood Hazard for Area of Bang Rakam Model 60 Project in Yom River Basin, Northern Thailand",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125901850,A mathematical description of evaporative cooling potential for perishables storage in India,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Exclude
125896931,A Synthesis of Deepwater Horizon Impacts on Coastal and Nearshore Living Marine Resources,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125902642,"A vulnerability assessment of rice farmers to climate change in Yamoussoukro, central Côte d'Ivoire",EXCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125890738,Adaptation and resilience in pastoral management of the mediterranean bedouin social-ecological system in the northwestern coastal zone of Egypt,EXCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125890249,Adaptation to impacts of climate change on the food and nutrition security status of a small island developing state: The case of the Republic of Seychelles,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,Include
125892818,Adapting to climate change: Agricultural system and household impacts in East Africa,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125901250,Adopting the Local Knowledge of Coastal Communities for Climate Change Adaptation: A Case Study From Bangladesh,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125896257,Adoption of climate smart agriculture by communal livestock farmers in South Africa,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125899099,"Agricultural resilience and adaptive capacity during severe drought in the Western Cape, South Africa",INCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125892550,"Agro-ecologic mapping of livestock system in smallholder crop-livestock mixed farming of Wolaita and Dawuro districts, Southern Ethiopia",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125894736,Agro-pastoralists’ determinants of adaptation to climate change,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125905623,"An Analysis of the Acceptance of Water Management Systems among Smallholder Farmers in Numbi, Mpumalanga Province, South Africa",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125896231,Are perception and adaptation to climate variability and change of cowpea growers in Mali gender differentiated?,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125897200,Are there opportunities for climate-smart agriculture? Assessing costs and benefits of sustainability investments and planning policies in Southern Africa,INCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125892705,"Assessing environmental flow requirements and trade-offs for the lower Zambezi river and delta, Mozambique",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,Exclude
125903091,Assessing the Implementation of Climate-Smart Agricultural Practices: Key Findings and Policy Strategies,INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
125899080,"Assessment of climatic risk and adaptation measures in rural India: A case study of Vanvasi village, Maharashtra",INCLUDE,INCLUDE,INCLUDE,INCLUDE,Include
