Id,Item,Jennifer Cisse,Caroline Staub,LLM
125898724,"‘From the sky to the ground’: fishers' knowledge, landscape analysis and hydrological data indicate long-term environmental changes in Amazonian clear water rivers",EXCLUDE,EXCLUDE,Exclude
125898421,"“Are they aware, and why?” Bayesian analysis of predictors of smallholder farmers' awareness of climate change and its risks to agriculture",EXCLUDE,EXCLUDE,Exclude
125903902,An ordered logistic regression analysis of the factors associated with smallholder farmers’ decision to fully embrace conservation agriculture in Zimbabwe,INCLUDE,INCLUDE,Include
125894445,Analysis of indirect economic loss of meteorological disasters among the Belt and Road typical countries based on the MRIO model: Taking the Chinas typhoon Rammasun in 2014 as an example,EXCLUDE,EXCLUDE,Exclude
125893112,Analysis of potential yields and yield gaps of rainfed soybean in India using CROPGRO-Soybean model,EXCLUDE,EXCLUDE,Exclude
125902161,Assessment of agricultural drought severity using multi-temporal remote sensing data in Lorestan region,EXCLUDE,EXCLUDE,Exclude
125900629,Assessment of Variation in Marginal Productivity Value of Water in Paddy Farming Systems in Times of Water Stress,EXCLUDE,EXCLUDE,Exclude
125899461,"Association of farmers’ wellbeing in a drought-prone area, Thailand: applications of SPI and VCI indices",EXCLUDE,EXCLUDE,Exclude
125900496,"Author Correction: Climate vulnerability assessment of key fishery resources in the Northern Humboldt Current System (Scientific Reports, (2022), 12, 1, (4800), 10.1038/s41598-022-08818-5)",EXCLUDE,EXCLUDE,Exclude
125897134,Barriers to Effective Climate Change Management in Zimbabwe’s Rural Communities,EXCLUDE,EXCLUDE,Exclude
125894578,"Barriers to Implementing Irrigation and Drainage Policies in An Giang Province, Mekong Delta, Vietnam",EXCLUDE,INCLUDE,Include
125893099,"Capripoxviruses: An emerging worldwide threat to sheep, goats and cattle",EXCLUDE,EXCLUDE,Exclude
125891985,Climate change adaptation and mitigation options for the livestock sector in the near east and North Africa,EXCLUDE,INCLUDE,Exclude
125905823,Climate Change Adaptation Strategy of the Coastal Indigenous Community of Bangladesh,INCLUDE,INCLUDE,Include
125898434,"Climate change effects on agricultural productivity in the smallholder farming systems of the Eastern Cape Province, South Africa",INCLUDE,INCLUDE,Exclude
125897171,"Climate change, marine resources and a small Chilean community: making the connections",EXCLUDE,EXCLUDE,Exclude
